 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.976E-01    1.604E-06     9.774E-01      0.000E+00     0.000E+00     1.885E-01      0      0    -0.194      2        1    -0.022    0.000 
11.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.780E-01    1.329E-06     9.774E-01      0.000E+00     0.000E+00     1.880E-01      0      0    -0.194      2        1    -0.022    0.000 
12.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.637E-01    1.118E-06     9.773E-01      0.000E+00     0.000E+00     1.875E-01      0      0    -0.194      2        1    -0.022    0.000 
13.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.526E-01    9.534E-07     9.772E-01      0.000E+00     0.000E+00     1.869E-01      0      0    -0.194      2        1    -0.022    0.000 
14.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.434E-01    8.222E-07     9.771E-01      0.000E+00     0.000E+00     1.862E-01      0      0    -0.194      2        1    -0.022    0.000 
15.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.354E-01    7.161E-07     9.771E-01      0.000E+00     0.000E+00     1.855E-01      0      0    -0.194      2        1    -0.022    0.000 
16.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.281E-01    6.290E-07     9.770E-01      0.000E+00     0.000E+00     1.847E-01      0      0    -0.194      2        1    -0.022    0.000 
17.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.212E-01    5.568E-07     9.769E-01      0.000E+00     0.000E+00     1.839E-01      0      0    -0.194      2        1    -0.022    0.000 
18.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.145E-01    4.962E-07     9.768E-01      0.000E+00     0.000E+00     1.830E-01      0      0    -0.194      2        1    -0.022    0.000 
19.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.079E-01    4.449E-07     9.766E-01      0.000E+00     0.000E+00     1.821E-01      0      0    -0.194      2        1    -0.022    0.000 
20.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.013E-01    4.010E-07     9.765E-01      0.000E+00     0.000E+00     1.811E-01      0      0    -0.194      2        1    -0.022    0.000 
21.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.946E-01    3.633E-07     9.764E-01      0.000E+00     0.000E+00     1.801E-01      0      0    -0.194      2        1    -0.022    0.000 
22.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.877E-01    3.306E-07     9.762E-01      0.000E+00     0.000E+00     1.790E-01      0      0    -0.194      2        1    -0.022    0.000 
23.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.806E-01    3.021E-07     9.761E-01      0.000E+00     0.000E+00     1.778E-01      0      0    -0.194      2        1    -0.022    0.000 
24.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.734E-01    2.771E-07     9.759E-01      0.000E+00     0.000E+00     1.766E-01      0      0    -0.194      2        1    -0.022    0.000 
25.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.659E-01    2.550E-07     9.757E-01      0.000E+00     0.000E+00     1.753E-01      0      0    -0.194      2        1    -0.022    0.000 
26.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.582E-01    2.355E-07     9.756E-01      0.000E+00     0.000E+00     1.740E-01      0      0    -0.194      2        1    -0.022    0.000 
27.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.504E-01    2.180E-07     9.754E-01      0.000E+00     0.000E+00     1.726E-01      0      0    -0.194      2        1    -0.022    0.000 
28.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.423E-01    2.025E-07     9.751E-01      0.000E+00     0.000E+00     1.712E-01      0      0    -0.194      2        1    -0.022    0.000 
29.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.340E-01    1.885E-07     9.749E-01      0.000E+00     0.000E+00     1.696E-01      0      0    -0.194      2        1    -0.022    0.000 
30.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.255E-01    1.759E-07     9.747E-01      0.000E+00     0.000E+00     1.680E-01      0      0    -0.194      2        1    -0.022    0.000 
31.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.168E-01    1.645E-07     9.744E-01      0.000E+00     0.000E+00     1.664E-01      0      0    -0.194      2        1    -0.022    0.000 
32.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.080E-01    1.542E-07     9.742E-01      0.000E+00     0.000E+00     1.646E-01      0      0    -0.194      2        1    -0.022    0.000 
33.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.991E-01    1.448E-07     9.739E-01      0.000E+00     0.000E+00     1.628E-01      0      0    -0.194      2        1    -0.022    0.000 
34.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.900E-01    1.362E-07     9.736E-01      0.000E+00     0.000E+00     1.609E-01      0      0    -0.194      2        1    -0.022    0.000 
35.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.808E-01    1.284E-07     9.732E-01      0.000E+00     0.000E+00     1.589E-01      0      0    -0.194      2        1    -0.022    0.000 
36.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.715E-01    1.212E-07     9.729E-01      0.000E+00     0.000E+00     1.569E-01      0      0    -0.194      2        1    -0.022    0.000 
37.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.622E-01    1.146E-07     9.725E-01      0.000E+00     0.000E+00     1.547E-01      0      0    -0.194      2        1    -0.022    0.000 
38.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.528E-01    1.085E-07     9.721E-01      0.000E+00     0.000E+00     1.525E-01      0      0    -0.194      2        1    -0.022    0.000 
39.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.434E-01    1.029E-07     9.717E-01      0.000E+00     0.000E+00     1.501E-01      0      0    -0.194      2        1    -0.022    0.000 
40.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.339E-01    9.771E-08     9.712E-01      0.000E+00     0.000E+00     1.477E-01      0      0    -0.194      2        1    -0.022    0.000 
41.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.245E-01    9.289E-08     9.707E-01      0.000E+00     0.000E+00     1.452E-01      0      0    -0.194      2        1    -0.022    0.000 
42.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.152E-01    8.842E-08     9.701E-01      0.000E+00     0.000E+00     1.425E-01      0      0    -0.194      2        1    -0.022    0.000 
43.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.060E-01    8.425E-08     9.696E-01      0.000E+00     0.000E+00     1.397E-01      0      0    -0.194      2        1    -0.022    0.000 
44.00   1000.1   1000.1   -2.000E-01   4.000E+00   9.686E-02    8.038E-08     9.689E-01      0.000E+00     0.000E+00     1.368E-01      0      0    -0.194      2        1    -0.022    0.000 
45.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.786E-02    7.676E-08     9.682E-01      0.000E+00     0.000E+00     1.338E-01      0      0    -0.194      2        1    -0.022    0.000 
46.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.903E-02    7.338E-08     9.674E-01      0.000E+00     0.000E+00     1.306E-01      0      0    -0.194      2        1    -0.022    0.000 
47.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.038E-02    7.021E-08     9.666E-01      0.000E+00     0.000E+00     1.273E-01      0      0    -0.194      2        1    -0.022    0.000 
48.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.153E-02    6.725E-08     9.656E-01      0.000E+00     0.000E+00     1.238E-01      0      0    -0.194      2        1    -0.022    0.000 
49.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.248E-02    6.446E-08     9.646E-01      0.000E+00     0.000E+00     1.201E-01      0      0    -0.194      2        1    -0.022    0.000 
50.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.355E-02    6.185E-08     9.634E-01      0.000E+00     0.000E+00     1.163E-01      0      0    -0.194      2        1    -0.022    0.000 
51.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.377E-02    5.939E-08     9.621E-01      0.000E+00     0.000E+00     1.122E-01      0      0    -0.194      2        1    -0.022    0.000 
52.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.421E-02    5.707E-08     9.605E-01      0.000E+00     0.000E+00     1.078E-01      0      0    -0.194      2        1    -0.022    0.000 
53.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.565E-02    5.488E-08     9.588E-01      0.000E+00     0.000E+00     1.032E-01      0      0    -0.194      2        1    -0.022    0.000 
54.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.984E-03    5.281E-08     9.567E-01      0.000E+00     0.000E+00     9.825E-02      0      0    -0.194      2        1    -0.022    0.000 
55.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.576E-03    5.086E-08     9.542E-01      0.000E+00     0.000E+00     9.292E-02      0      0    -0.194      2        1    -0.022    0.000 
56.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.094E-03    4.902E-08     9.512E-01      0.000E+00     0.000E+00     8.715E-02      0      0    -0.194      2        1    -0.022    0.000 
57.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.731E-04    4.727E-08     9.474E-01      0.000E+00     0.000E+00     8.083E-02      0      0    -0.194      2        1    -0.022    0.000 
58.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.342E-04    4.561E-08     9.424E-01      0.000E+00     0.000E+00     7.381E-02      0      0    -0.194      2        1    -0.022    0.000 
59.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.171E-04    4.404E-08     9.354E-01      0.000E+00     0.000E+00     6.585E-02      0      0    -0.194      2        1    -0.022    0.000 
60.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.684E-05    4.254E-08     9.247E-01      0.000E+00     0.000E+00     5.652E-02      0      0    -0.194      2        1    -0.022    0.000 
61.00   1000.1   1000.1   -2.000E-01   4.000E+00   9.777E-06    4.112E-08     9.053E-01      0.000E+00     0.000E+00     4.491E-02      0      0    -0.194      2        1    -0.022    0.000 
62.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.681E-06    3.977E-08     8.471E-01      0.000E+00     0.000E+00     2.782E-02      0      0    -0.194      2        1    -0.022    0.000 
63.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.621E-04    3.849E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
64.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.738E-03    3.726E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
65.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.839E-03    3.609E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
66.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.594E-03    3.498E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
67.00   1000.1   1000.1   -2.000E-01   4.000E+00   9.974E-03    3.392E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
68.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.397E-02    3.290E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
69.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.858E-02    3.193E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
70.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.388E-02    3.100E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
71.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.991E-02    3.011E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
72.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.677E-02    2.925E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
73.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.457E-02    2.844E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
74.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.347E-02    2.765E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
75.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.363E-02    2.690E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
76.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.516E-02    2.618E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
77.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.860E-02    2.548E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
78.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.037E-01    2.482E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
79.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.189E-01    2.418E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
80.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.349E-01    2.356E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
81.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.470E-01    2.297E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
82.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.402E-01    2.239E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
83.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.114E-01    2.184E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
84.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.974E-02    2.131E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
85.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.705E-02    2.079E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
86.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.096E-02    2.030E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
87.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.025E-02    1.982E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
88.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.300E-02    1.936E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
89.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.794E-02    1.891E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
90.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.420E-02    1.848E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
91.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.141E-02    1.807E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
92.00   1000.1   1000.1   -2.000E-01   4.000E+00   9.347E-03    1.766E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
93.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.834E-03    1.727E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
94.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.689E-03    1.690E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
95.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.802E-03    1.653E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
96.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.096E-03    1.618E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
97.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.533E-03    1.584E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
98.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.064E-03    1.550E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
99.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.671E-03    1.518E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
100.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.337E-03    1.487E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
101.00   1000.1   1000.1   -2.000E-01   4.000E+00   3.050E-03    1.457E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
102.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.802E-03    1.428E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
103.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.585E-03    1.399E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
104.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.393E-03    1.372E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
105.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.225E-03    1.345E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
106.00   1000.1   1000.1   -2.000E-01   4.000E+00   2.076E-03    1.319E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
107.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.943E-03    1.294E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
108.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.821E-03    1.269E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
109.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.714E-03    1.245E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
110.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.617E-03    1.222E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.022    0.000 
111.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.523E-03    1.199E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
112.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.438E-03    1.177E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
113.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.365E-03    1.156E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
114.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.298E-03    1.135E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
115.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.236E-03    1.115E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
116.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.179E-03    1.095E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
117.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.126E-03    1.076E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
118.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.077E-03    1.057E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
119.00   1000.1   1000.1   -2.000E-01   4.000E+00   1.030E-03    1.039E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
120.00   1000.1   1000.1   -2.000E-01   4.000E+00   9.283E-04    1.021E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
121.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.865E-04    1.004E-08     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
122.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.459E-04    9.869E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
123.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.616E-04    9.705E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
124.00   1000.1   1000.1   -2.000E-01   4.000E+00   8.186E-04    9.544E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
125.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.699E-04    9.387E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
126.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.316E-04    9.234E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
127.00   1000.1   1000.1   -2.000E-01   4.000E+00   7.017E-04    9.085E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
128.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.747E-04    8.939E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
129.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.509E-04    8.797E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
130.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.301E-04    8.658E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
131.00   1000.1   1000.1   -2.000E-01   4.000E+00   6.110E-04    8.522E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
132.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.932E-04    8.390E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
133.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.764E-04    8.260E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
134.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.607E-04    8.134E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
135.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.457E-04    8.010E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
136.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.316E-04    7.889E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
137.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.180E-04    7.771E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
138.00   1000.1   1000.1   -2.000E-01   4.000E+00   5.051E-04    7.655E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
139.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.928E-04    7.542E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
140.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.809E-04    7.431E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
141.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.696E-04    7.323E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
142.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.587E-04    7.217E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
143.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.482E-04    7.113E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
144.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.381E-04    7.012E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
145.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.283E-04    6.913E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
146.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.189E-04    6.815E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
147.00   1000.1   1000.1   -2.000E-01   4.000E+00   4.099E-04    6.720E-09     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.194      2        1    -0.021    0.000 
