 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   11.00   11.00   -1.000E-02   8.000E+00   2.449E-02    5.298E-09     7.736E-02      6.650E-02     1.330E-01     5.955E-03      1      1    -0.005      2        -8    -0.002    0.000 
11.00   12.00   12.00   -1.000E-02   8.000E+00   2.085E-02    4.403E-09     7.745E-02      6.558E-02     1.312E-01     5.931E-03      1      1    -0.005      2        -8    -0.002    0.000 
12.00   13.00   13.00   -1.000E-02   8.000E+00   1.840E-02    3.715E-09     7.753E-02      6.466E-02     1.293E-01     5.908E-03      1      1    -0.005      2        -8    -0.002    0.000 
13.00   14.00   14.00   -1.000E-02   8.000E+00   1.667E-02    3.175E-09     7.758E-02      6.372E-02     1.274E-01     5.884E-03      1      1    -0.005      2        -8    -0.002    0.000 
14.00   15.00   15.00   -1.000E-02   8.000E+00   1.539E-02    2.743E-09     7.762E-02      6.278E-02     1.256E-01     5.860E-03      1      1    -0.005      2        -8    -0.002    0.000 
15.00   16.00   16.00   -1.000E-02   8.000E+00   1.440E-02    2.393E-09     7.764E-02      6.183E-02     1.237E-01     5.835E-03      1      1    -0.005      2        -8    -0.002    0.000 
16.00   17.00   17.00   -1.000E-02   8.000E+00   1.360E-02    2.106E-09     7.764E-02      6.087E-02     1.217E-01     5.810E-03      1      1    -0.005      2        -8    -0.002    0.000 
17.00   18.00   18.00   -1.000E-02   8.000E+00   1.293E-02    1.867E-09     7.763E-02      5.991E-02     1.198E-01     5.785E-03      1      1    -0.005      2        -8    -0.001    0.000 
18.00   19.00   19.00   -1.000E-02   8.000E+00   1.232E-02    1.666E-09     7.759E-02      5.894E-02     1.179E-01     5.760E-03      1      1    -0.005      2        -8    -0.001    0.000 
19.00   20.00   20.00   -1.000E-02   8.000E+00   1.177E-02    1.495E-09     7.753E-02      5.796E-02     1.159E-01     5.735E-03      1      1    -0.005      2        -8    -0.001    0.000 
20.00   21.00   21.00   -1.000E-02   8.000E+00   1.121E-02    1.350E-09     7.745E-02      5.697E-02     1.139E-01     5.709E-03      1      1    -0.005      2        -8    -0.001    0.000 
21.00   22.00   22.00   -1.000E-02   8.000E+00   1.064E-02    1.224E-09     7.734E-02      5.597E-02     1.119E-01     5.683E-03      1      1    -0.005      2        -8    -0.001    0.000 
22.00   23.00   23.00   -1.000E-02   8.000E+00   1.004E-02    1.115E-09     7.722E-02      5.497E-02     1.099E-01     5.657E-03      1      1    -0.005      2        -8    -0.001    0.000 
23.00   24.00   24.00   -1.000E-02   8.000E+00   9.400E-03    1.020E-09     7.707E-02      5.396E-02     1.079E-01     5.631E-03      1      1    -0.005      2        -8    -0.001    0.000 
24.00   25.00   25.00   -1.000E-02   8.000E+00   8.712E-03    9.360E-10     7.689E-02      5.295E-02     1.059E-01     5.604E-03      1      1    -0.005      2        -8    -0.001    0.000 
25.00   26.00   26.00   -1.000E-02   8.000E+00   7.975E-03    8.622E-10     7.668E-02      5.192E-02     1.038E-01     5.578E-03      1      1    -0.005      2        -8    -0.001    0.000 
26.00   27.00   27.00   -1.000E-02   8.000E+00   7.196E-03    7.967E-10     7.645E-02      5.089E-02     1.018E-01     5.551E-03      1      1    -0.005      2        -8    -0.001    0.000 
27.00   28.00   28.00   -1.000E-02   8.000E+00   6.384E-03    7.383E-10     7.619E-02      4.985E-02     9.971E-02     5.524E-03      1      1    -0.005      2        -8    -0.001    0.000 
28.00   29.00   29.00   -1.000E-02   8.000E+00   5.552E-03    6.860E-10     7.590E-02      4.881E-02     9.762E-02     5.497E-03      1      1    -0.005      2        -8    -0.001    0.000 
29.00   30.00   30.00   -1.000E-02   8.000E+00   4.715E-03    6.391E-10     7.558E-02      4.776E-02     9.552E-02     5.470E-03      1      1    -0.005      2        -8    -0.001    0.000 
30.00   31.00   31.00   -1.000E-02   8.000E+00   3.891E-03    5.968E-10     7.522E-02      4.670E-02     9.340E-02     5.443E-03      1      1    -0.005      2        -8    -0.001    0.000 
31.00   32.00   32.00   -1.000E-02   8.000E+00   3.099E-03    5.585E-10     7.483E-02      4.564E-02     9.127E-02     5.415E-03      1      1    -0.005      2        -8    -0.001    0.000 
32.00   33.00   33.00   -1.000E-02   8.000E+00   2.353E-03    5.237E-10     7.441E-02      4.456E-02     8.913E-02     5.388E-03      1      1    -0.005      2        -8    -0.001    0.000 
33.00   34.00   34.00   -1.000E-02   8.000E+00   1.639E-03    4.921E-10     7.394E-02      4.349E-02     8.697E-02     5.360E-03      1      1    -0.005      2        -8    -0.001    0.000 
34.00   35.00   35.00   -1.000E-02   8.000E+00   1.024E-03    4.632E-10     7.343E-02      4.240E-02     8.480E-02     5.333E-03      1      1    -0.005      2        -8    -0.001    0.000 
35.00   36.00   36.00   -1.000E-02   8.000E+00   5.530E-04    4.368E-10     7.289E-02      4.131E-02     8.261E-02     5.305E-03      1      1    -0.005      2        -8    -0.001    0.000 
36.00   37.00   37.00   -1.000E-02   8.000E+00   2.648E-04    4.125E-10     7.229E-02      4.020E-02     8.041E-02     5.277E-03      1      1    -0.005      2        -8    -0.001    0.000 
37.00   38.00   38.00   -1.000E-02   8.000E+00   1.154E-04    3.902E-10     7.165E-02      3.909E-02     7.819E-02     5.250E-03      1      1    -0.005      2        -8    -0.001    0.000 
38.00   39.00   39.00   -1.000E-02   8.000E+00   5.383E-05    3.696E-10     7.096E-02      3.798E-02     7.595E-02     5.222E-03      1      1    -0.005      2        -8    -0.001    0.000 
39.00   40.00   40.00   -1.000E-02   8.000E+00   4.264E-05    3.507E-10     7.021E-02      3.685E-02     7.370E-02     5.194E-03      1      1    -0.005      2        -8    -0.001    0.000 
