 Mh1    ld345       cs_(fb)   
 10    0.013408    4.3091E+02 
 11    0.013427    4.3123E+02 
 12    0.013447    4.3105E+02 
 13    0.013470    4.3147E+02 
 14    0.013494    4.3109E+02 
 15    0.013521    4.3129E+02 
 16    0.013549    4.3149E+02 
 17    0.013580    4.3146E+02 
 18    0.013613    4.3115E+02 
 19    0.013649    4.3087E+02 
 20    0.013686    4.3042E+02 
 21    0.013727    4.3164E+02 
 22    0.013770    4.3212E+02 
 23    0.013815    4.3171E+02 
 24    0.013864    4.3165E+02 
 25    0.013915    4.3176E+02 
 26    0.013970    4.3159E+02 
 27    0.014028    4.3106E+02 
 28    0.014089    4.3120E+02 
 29    0.014154    4.3226E+02 
 30    0.014223    4.3133E+02 
 31    0.014296    4.3256E+02 
 32    0.014374    4.3142E+02 
 33    0.014456    4.3139E+02 
 34    0.014543    4.3187E+02 
 35    0.014636    4.3272E+02 
 36    0.014734    4.3164E+02 
 37    0.014839    4.3212E+02 
 38    0.014951    4.3144E+02 
 39    0.015070    4.3250E+02 
 40    0.015198    4.3158E+02 
 41    0.015334    4.3122E+02 
 42    0.015480    4.3207E+02 
 43    0.015638    4.3151E+02 
 44    0.015808    4.3176E+02 
 45    0.015992    4.3199E+02 
 46    0.016191    4.3122E+02 
 47    0.016408    4.3092E+02 
 48    0.016646    4.3207E+02 
 49    0.016908    4.3158E+02 
 50    0.017198    4.3232E+02 
 51    0.017522    4.3156E+02 
 52    0.017886    4.3131E+02 
 53    0.018299    4.3186E+02 
 54    0.018774    4.3117E+02 
 55    0.019330    4.3222E+02 
 56    0.019991    4.3165E+02 
 57    0.020800    4.3152E+02 
 58    0.021825    4.3143E+02 
 59    0.023192    4.3186E+02 
 60    0.025176    4.3223E+02 
 61    0.028547    4.3151E+02 
 62    0.037494    4.3141E+02 
 63    1.630278    9.4263E+02 
 64    1.634614    4.5741E+02 
 65    1.639018    3.1327E+02 
 66    1.643490    2.4043E+02 
 67    1.648030    1.9491E+02 
 68    1.652639    1.6328E+02 
 69    1.657316    1.4059E+02 
 70    1.662061    1.2260E+02 
 71    1.666875    1.0824E+02 
 72    1.671757    9.7016E+01 
 73    1.676707    8.7384E+01 
 74    1.681725    7.9162E+01 
 75    1.686812    7.2536E+01 
 76    1.691967    6.6505E+01 
 77    1.697190    6.1389E+01 
 78    1.702482    5.6869E+01 
 79    1.707841    5.2879E+01 
 80    1.713269    4.9235E+01 
 81    1.718766    4.6063E+01 
 82    1.724330    4.3241E+01 
 83    1.729963    4.0552E+01 
 84    1.735664    3.8158E+01 
 85    1.741434    3.5975E+01 
 86    1.747272    3.4063E+01 
 87    1.753178    3.2219E+01 
 88    1.759152    3.0579E+01 
 89    1.765194    2.9112E+01 
 90    1.771305    2.7645E+01 
 91    1.777484    2.6353E+01 
 92    1.783732    2.5089E+01 
 93    1.790047    2.4011E+01 
 94    1.796431    2.2890E+01 
 95    1.802884    2.1928E+01 
 96    1.809404    2.0984E+01 
 97    1.815993    2.0187E+01 
 98    1.822650    1.9302E+01 
 99    1.829375    1.8541E+01 
 100    1.836169    1.7809E+01 
 101    1.843031    1.7188E+01 
 102    1.849961    1.6517E+01 
 103    1.856959    1.5910E+01 
 104    1.864026    1.5327E+01 
 105    1.871161    1.4787E+01 
 106    1.878364    1.4288E+01 
 107    1.885636    1.3788E+01 
 108    1.892976    1.3320E+01 
 109    1.900384    1.2893E+01 
 110    1.907860    1.2473E+01 
 111    1.915405    1.2088E+01 
 112    1.923018    1.1705E+01 
 113    1.930699    1.1337E+01 
 114    1.938448    1.1014E+01 
 115    1.946266    1.0653E+01 
 116    1.954152    1.0365E+01 
 117    1.962106    1.0065E+01 
 118    1.970129    9.7625E+00 
 119    1.978220    9.4766E+00 
 120    1.986379    9.2330E+00 
 121    1.994606    8.9840E+00 
 122    2.002902    8.7302E+00 
 123    2.011266    8.4968E+00 
 124    2.019698    8.2843E+00 
 125    2.028199    8.0600E+00 
 126    2.036768    7.8606E+00 
 127    2.045405    7.6543E+00 
 128    2.054110    7.4642E+00 
 129    2.062884    7.2913E+00 
 130    2.071726    7.1030E+00 
 131    2.080636    6.9484E+00 
 132    2.089614    6.7715E+00 
 133    2.098661    6.6184E+00 
 134    2.107776    6.4536E+00 
 135    2.116960    6.3162E+00 
 136    2.126211    6.1772E+00 
 137    2.135531    6.0333E+00 
 138    2.144919    5.9018E+00 
 139    2.154376    5.7866E+00 
 140    2.163900    5.6502E+00 
 141    2.173493    5.5295E+00 
 142    2.183155    5.4112E+00 
 143    2.192884    5.3057E+00 
 144    2.202682    5.1975E+00 
 145    2.212548    5.0851E+00 
 146    2.222482    4.9875E+00 
 147    2.232485    4.8866E+00 
 148    2.242556    4.7917E+00 
 149    2.252695    4.6948E+00 
 150    2.262902    4.6100E+00 
 151    2.273178    4.5141E+00 
 152    2.283522    4.4337E+00 
 153    2.293935    4.3539E+00 
 154    2.304415    4.2745E+00 
 155    2.314964    4.1931E+00 
 156    2.325581    4.1220E+00 
 157    2.336267    4.0439E+00 
 158    2.347020    3.9729E+00 
 159    2.357842    3.9006E+00 
 160    2.368733    3.8339E+00 
 161    2.379691    3.7739E+00 
 162    2.390718    3.7074E+00 
 163    2.401813    3.6408E+00 
 164    2.412976    3.5857E+00 
 165    2.424208    3.5233E+00 
 166    2.435508    3.4649E+00 
 167    2.446876    3.4122E+00 
 168    2.458313    3.3548E+00 
 169    2.469817    3.2976E+00 
 170    2.481390    3.2479E+00 
 171    2.493032    3.2030E+00 
 172    2.504741    3.1504E+00 
 173    2.516519    3.1003E+00 
 174    2.528365    3.0575E+00 
 175    2.540279    3.0051E+00 
 176    2.552262    2.9673E+00 
 177    2.564313    2.9241E+00 
 178    2.576432    2.8843E+00 
 179    2.588620    2.8363E+00 
 180    2.600876    2.7981E+00 
 181    2.613200    2.7559E+00 
 182    2.625592    2.7195E+00 
 183    2.638053    2.6810E+00 
 184    2.650582    2.6418E+00 
 185    2.663179    2.6080E+00 
 186    2.675844    2.5701E+00 
 187    2.688578    2.5352E+00 
 188    2.701380    2.5051E+00 
 189    2.714250    2.4693E+00 
 190    2.727189    2.4346E+00 
 191    2.740196    2.4080E+00 
 192    2.753271    2.3711E+00 
 193    2.766414    2.3435E+00 
 194    2.779626    2.3105E+00 
 195    2.792906    2.2846E+00 
 196    2.806254    2.2576E+00 
 197    2.819670    2.2308E+00 
 198    2.833155    2.1971E+00 
 199    2.846709    2.1728E+00 
 200    2.860330    2.1444E+00 
