 Mh1    ld345       cs_(fb)   
 10.0    0.013408    1.4013E+02 
 11.0    0.013427    1.4010E+02 
 12.0    0.013447    1.4016E+02 
 13.0    0.013470    1.4021E+02 
 14.0    0.013494    1.4036E+02 
 15.0    0.013521    1.4021E+02 
 16.0    0.013549    1.4029E+02 
 17.0    0.013580    1.4024E+02 
 18.0    0.013613    1.4036E+02 
 19.0    0.013649    1.4038E+02 
 20.0    0.013686    1.4040E+02 
 21.0    0.013727    1.4018E+02 
 22.0    0.013770    1.4034E+02 
 23.0    0.013815    1.4056E+02 
 24.0    0.013864    1.4090E+02 
 25.0    0.013915    1.4060E+02 
 26.0    0.013970    1.4030E+02 
 27.0    0.014028    1.4076E+02 
 28.0    0.014089    1.4048E+02 
 29.0    0.014154    1.4070E+02 
 30.0    0.014223    1.4079E+02 
 31.0    0.014296    1.4053E+02 
 32.0    0.014374    1.4062E+02 
 33.0    0.014456    1.4094E+02 
 34.0    0.014543    1.4075E+02 
 35.0    0.014636    1.4089E+02 
 36.0    0.014734    1.4083E+02 
 37.0    0.014839    1.4079E+02 
 38.0    0.014951    1.4088E+02 
 39.0    0.015070    1.4082E+02 
 40.0    0.015198    1.4057E+02 
 41.0    0.015334    1.4074E+02 
 42.0    0.015480    1.4062E+02 
 43.0    0.015638    1.4060E+02 
 44.0    0.015808    1.4073E+02 
 45.0    0.015992    1.4059E+02 
 46.0    0.016191    1.4029E+02 
 47.0    0.016408    1.4004E+02 
 48.0    0.016646    1.3993E+02 
 49.0    0.016908    1.3979E+02 
 50.0    0.017198    1.4013E+02 
 51.0    0.017522    1.3961E+02 
 52.0    0.017886    1.3984E+02 
 53.0    0.018299    1.3938E+02 
 54.0    0.018774    1.3964E+02 
 55.0    0.019330    1.3926E+02 
 56.0    0.019991    1.3915E+02 
 57.0    0.020800    1.3869E+02 
 58.0    0.021825    1.3893E+02 
 59.0    0.023192    1.3877E+02 
 60.0    0.025176    1.3849E+02 
 61.0    0.028547    1.3848E+02 
 62.0    0.037494    1.3834E+02 
 63.0    1.585000    2.8517E+02 
 64.0    1.601000    1.4012E+02 
 65.0    1.615000    9.7286E+01 
 66.0    1.604000    7.3060E+01 
 67.0    1.625000    6.0348E+01 
 68.0    1.602000    4.8787E+01 
 69.0    1.628000    4.2917E+01 
 70.0    1.627000    3.7177E+01 
 71.0    1.632000    3.2819E+01 
 72.0    1.643000    2.9532E+01 
 73.0    1.631000    2.6088E+01 
 74.0    1.654000    2.4126E+01 
 75.0    1.648000    2.1719E+01 
 76.0    1.649000    1.9851E+01 
 77.0    1.660000    1.8356E+01 
 78.0    1.670000    1.7074E+01 
 79.0    1.659000    1.5537E+01 
 80.0    1.657000    1.4319E+01 
 81.0    1.690000    1.3828E+01 
 82.0    1.689000    1.2849E+01 
 83.0    1.701000    1.2162E+01 
 84.0    1.689000    1.1195E+01 
 85.0    1.707000    1.0687E+01 
 86.0    1.710000    1.0056E+01 
 87.0    1.710000    9.4318E+00 
 88.0    1.728000    9.0558E+00 
 89.0    1.710000    8.3748E+00 
 90.0    1.729000    8.0582E+00 
 91.0    1.738000    7.6964E+00 
 92.0    1.742000    7.3049E+00 
 93.0    1.755000    7.0236E+00 
 94.0    1.743000    6.5572E+00 
 95.0    1.773000    6.4457E+00 
 96.0    1.763000    6.0467E+00 
 97.0    1.787000    5.8964E+00 
 98.0    1.769000    5.4876E+00 
 99.0    1.787000    5.3387E+00 
 100.0    1.792000    5.0989E+00 
 101.0    1.799000    4.9071E+00 
 102.0    1.808000    4.7299E+00 
 103.0    1.823000    4.5902E+00 
 104.0    1.830000    4.4133E+00 
 105.0    1.823000    4.1894E+00 
 106.0    1.844000    4.1034E+00 
 107.0    1.828000    3.8531E+00 
 108.0    1.838000    3.7265E+00 
 109.0    1.867000    3.6892E+00 
 110.0    1.860000    3.5076E+00 
 111.0    1.886000    3.4575E+00 
 112.0    1.883000    3.3057E+00 
 113.0    1.877000    3.1561E+00 
 114.0    1.890000    3.0694E+00 
 115.0    1.909000    3.0096E+00 
 116.0    1.913000    2.9123E+00 
 117.0    1.915000    2.7962E+00 
 118.0    1.926000    2.7243E+00 
 119.0    1.930000    2.6278E+00 
 120.0    1.939000    2.5565E+00 
 121.0    1.946000    2.4764E+00 
 122.0    1.948000    2.3919E+00 
 123.0    1.971000    2.3620E+00 
 124.0    1.956000    2.2478E+00 
 125.0    1.988000    2.2287E+00 
 126.0    1.990000    2.1598E+00 
 127.0    2.004000    2.1106E+00 
 128.0    2.009000    2.0495E+00 
 129.0    2.020000    1.9941E+00 
 130.0    2.035000    1.9603E+00 
 131.0    2.023000    1.8712E+00 
 132.0    2.047000    1.8508E+00 
 133.0    2.033000    1.7647E+00 
 134.0    2.054000    1.7433E+00 
 135.0    2.071000    1.7110E+00 
 136.0    2.063000    1.6418E+00 
 137.0    2.070000    1.6013E+00 
 138.0    2.105000    1.5997E+00 
 139.0    2.100000    1.5438E+00 
 140.0    2.126000    1.5326E+00 
 141.0    2.123000    1.4797E+00 
 142.0    2.133000    1.4464E+00 
 143.0    2.151000    1.4255E+00 
 144.0    2.150000    1.3786E+00 
 145.0    2.150000    1.3363E+00 
 146.0    2.186000    1.3413E+00 
 147.0    2.175000    1.2853E+00 
 148.0    2.190000    1.2641E+00 
 149.0    2.175000    1.2112E+00 
