    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp     cross_sec_limit   
    10   0.013408      1.311E+02          M3        20000      27.686       0.12058        0.010        20       1.92E+00      1.95E+02      1.90E+02      955.59   
    29   0.014154      1.313E+02          M3        20000      27.587       0.12011        0.010        20       1.92E+00      1.95E+02      1.90E+02      960.18   
    48   0.016646      1.314E+02          M3        20000      27.210       0.11833        0.010        20       1.90E+00      1.95E+02      1.90E+02      974.19   
    67   1.648030      5.677E+01          M3        20000      14.291       0.06309        0.012        20       9.07E-01      1.95E+02      1.90E+02      793.46   
    86   1.747272      9.178E+00          M3        20000      2.897       0.01299        0.016        20       1.64E-01      1.95E+02      1.90E+02      628.04   
    105   1.871161      3.756E+00          M3        20000      1.460       0.00662        0.019        20       7.50E-02      1.95E+02      1.90E+02      509.52   
    124   2.019698      1.987E+00          M3        20000      0.861       0.00393        0.021        20       4.20E-02      1.95E+02      1.90E+02      456.87   
    143   2.192884      1.210E+00          M3        20000      0.614       0.00283        0.025        20       2.70E-02      1.95E+02      1.90E+02      390.11   
    162   2.390718      8.051E-01          M3        20000      0.432       0.00199        0.026        20       1.90E-02      1.95E+02      1.90E+02      368.69   
    181   2.613200      5.707E-01          M3        20000      0.359       0.00167        0.031        20       1.40E-02      1.95E+02      1.90E+02      314.56   
    200   2.860330      4.250E-01          M3        20000      0.297       0.00139        0.034        20       1.10E-02      1.95E+02      1.90E+02      283.46   
