    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp     cross_sec_limit 
    10   0.013408      1.314E+02          2        20000      108.298       0.06135        0.082        10       2.67E+00      1.68E+03      1.68E+03      2045.18   
    29   0.014154      1.314E+02          2        20000      110.787       0.06280        0.084        10       2.70E+00      1.68E+03      1.68E+03      1999.16   
    48   0.016646      1.314E+02          2        20000      109.350       0.06196        0.083        10       2.68E+00      1.68E+03      1.68E+03      2025.55   
    67   1.648030      5.678E+01          2        20000      50.563       0.02870        0.089        10       1.20E+00      1.68E+03      1.68E+03      1889.22   
    86   1.747272      9.180E+00          2        20000      9.524       0.00543        0.104        10       2.09E-01      1.68E+03      1.68E+03      1619.67   
    105   1.871161      3.750E+00          2        20000      3.955       0.00225        0.105        10       8.60E-02      1.68E+03      1.68E+03      1593.33   
    124   2.019698      1.987E+00          2        20000      2.408       0.00138        0.121        10       4.90E-02      1.68E+03      1.68E+03      1386.79   
    143   2.192884      1.210E+00          2        20000      1.572       0.00090        0.130        10       3.10E-02      1.68E+03      1.68E+03      1292.85   
    162   2.390718      8.055E-01          3        20000      0.353       0.00063        0.044        10       1.20E-02      5.25E+02      5.25E+02      1198.68   
    181   2.613200      5.715E-01          3        20000      0.275       0.00049        0.048        10       9.00E-03      5.25E+02      5.25E+02      1089.25   
    200   2.860330      4.243E-01          3        20000      0.225       0.00040        0.053        10       7.00E-03      5.25E+02      5.25E+02      991.53   
