    Mh1      ld345      cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp    cross_sec_limit   
    10.0   0.013408      1.702E+02          SR6        20000      54.422       0.21972        0.016        20       3.33E+00      2.18E+02      3.18E+02      702.17   
    29.0   0.014154      1.705E+02          SR5        20000      88.765       0.20405        0.026        20       3.96E+00      3.97E+02      5.79E+02      777.32   
    48.0   0.016646      1.708E+02          SR6        20000      51.207       0.20803        0.015        20       2.99E+00      2.18E+02      3.18E+02      746.72   
    67.0   1.625000      6.466E+01          SR6        20000      22.695       0.09315        0.017        20       1.22E+00      2.18E+02      3.18E+02      627.91   
    86.0   1.710000      1.114E+01          SR6        20000      4.907       0.02039        0.022        20       2.36E-01      2.18E+02      3.18E+02      496.12   
    105.0   1.823000      4.787E+00          SR7        20000      1.217       0.00820        0.013        20       7.70E-02      1.30E+02      1.33E+02      511.96   
    124.0   1.956000      2.644E+00          SR7        20000      0.768       0.00523        0.014        20       4.50E-02      1.30E+02      1.33E+02      448.07   
    143.0   2.151000      1.737E+00          SR6        20000      1.213       0.00515        0.034        20       4.60E-02      2.18E+02      3.18E+02      312.19   
    162.0   2.331000      1.196E+00          SR7        20000      0.413       0.00283        0.017        20       2.30E-02      1.30E+02      1.33E+02      376.25   
    181.0   2.539000      8.801E-01          SR7        20000      0.327       0.00226        0.018        20       1.70E-02      1.30E+02      1.33E+02      350.21   
    200.0   2.756000      6.728E-01          SR7        20000      0.279       0.00194        0.020        20       1.40E-02      1.30E+02      1.33E+02      313.37   
