 Mh1    ld345       cs_(fb)   
 10.0    0.013408    5.2044E+02 
 11.0    0.013427    5.2045E+02 
 12.0    0.013447    5.2028E+02 
 13.0    0.013470    5.2172E+02 
 14.0    0.013494    5.2173E+02 
 15.0    0.013521    5.2110E+02 
 16.0    0.013549    5.2150E+02 
 17.0    0.013580    5.2116E+02 
 18.0    0.013613    5.2080E+02 
 19.0    0.013649    5.2028E+02 
 20.0    0.013686    5.2065E+02 
 21.0    0.013727    5.2112E+02 
 22.0    0.013770    5.2057E+02 
 23.0    0.013815    5.2177E+02 
 24.0    0.013864    5.2019E+02 
 25.0    0.013915    5.2101E+02 
 26.0    0.013970    5.2141E+02 
 27.0    0.014028    5.2023E+02 
 28.0    0.014089    5.2178E+02 
 29.0    0.014154    5.2077E+02 
 30.0    0.014223    5.2091E+02 
 31.0    0.014296    5.1982E+02 
 32.0    0.014374    5.2098E+02 
 33.0    0.014456    5.2076E+02 
 34.0    0.014543    5.2059E+02 
 35.0    0.014636    5.2269E+02 
 36.0    0.014734    5.1967E+02 
 37.0    0.014839    5.1949E+02 
 38.0    0.014951    5.2061E+02 
 39.0    0.015070    5.2101E+02 
 40.0    0.015198    5.1938E+02 
 41.0    0.015334    5.2076E+02 
 42.0    0.015480    5.2067E+02 
 43.0    0.015638    5.2055E+02 
 44.0    0.015808    5.2012E+02 
 45.0    0.015992    5.2088E+02 
 46.0    0.016191    5.1935E+02 
 47.0    0.016408    5.2044E+02 
 48.0    0.016646    5.2034E+02 
 49.0    0.016908    5.2031E+02 
 50.0    0.017198    5.2061E+02 
 51.0    0.017522    5.2170E+02 
 52.0    0.017886    5.2123E+02 
 53.0    0.018299    5.1991E+02 
 54.0    0.018774    5.2001E+02 
 55.0    0.019330    5.2085E+02 
 56.0    0.019991    5.2074E+02 
 57.0    0.020800    5.2041E+02 
 58.0    0.021825    5.2066E+02 
 59.0    0.023192    5.2069E+02 
 60.0    0.025176    5.2056E+02 
 61.0    0.028547    5.1952E+02 
 62.0    0.037494    5.2060E+02 
 63.0    1.585000    9.3461E+02 
 64.0    1.601000    4.6397E+02 
 65.0    1.615000    3.2562E+02 
 66.0    1.604000    2.4509E+02 
 67.0    1.625000    2.0337E+02 
 68.0    1.602000    1.6584E+02 
 69.0    1.628000    1.4695E+02 
 70.0    1.627000    1.2778E+02 
 71.0    1.632000    1.1352E+02 
 72.0    1.643000    1.0281E+02 
 73.0    1.631000    9.0837E+01 
 74.0    1.654000    8.4719E+01 
 75.0    1.648000    7.6685E+01 
 76.0    1.649000    7.0252E+01 
 77.0    1.660000    6.5418E+01 
 78.0    1.670000    6.1219E+01 
 79.0    1.659000    5.5881E+01 
 80.0    1.657000    5.1825E+01 
 81.0    1.690000    5.0124E+01 
 82.0    1.689000    4.6722E+01 
 83.0    1.701000    4.4275E+01 
 84.0    1.689000    4.1046E+01 
 85.0    1.707000    3.9407E+01 
 86.0    1.710000    3.7344E+01 
