 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   10.00   201.00   201.00   -5.000E-01   4.000E+00   7.077E-02    1.003E-05     9.963E-01      0.000E+00     0.000E+00     1.156E+00      0      0    -0.484      2        1    -0.022    0.000 
11.00   11.00   201.00   201.00   -5.000E-01   4.000E+00   6.717E-02    8.306E-06     9.963E-01      0.000E+00     0.000E+00     1.153E+00      0      0    -0.484      2        1    -0.022    0.000 
12.00   12.00   201.00   201.00   -5.000E-01   4.000E+00   6.456E-02    6.989E-06     9.963E-01      0.000E+00     0.000E+00     1.149E+00      0      0    -0.484      2        1    -0.022    0.000 
13.00   13.00   201.00   201.00   -5.000E-01   4.000E+00   6.252E-02    5.959E-06     9.963E-01      0.000E+00     0.000E+00     1.145E+00      0      0    -0.484      2        1    -0.022    0.000 
14.00   14.00   201.00   201.00   -5.000E-01   4.000E+00   6.083E-02    5.139E-06     9.963E-01      0.000E+00     0.000E+00     1.141E+00      0      0    -0.484      2        1    -0.022    0.000 
15.00   15.00   201.00   201.00   -5.000E-01   4.000E+00   5.936E-02    4.475E-06     9.963E-01      0.000E+00     0.000E+00     1.137E+00      0      0    -0.484      2        1    -0.022    0.000 
16.00   16.00   201.00   201.00   -5.000E-01   4.000E+00   5.803E-02    3.931E-06     9.962E-01      0.000E+00     0.000E+00     1.132E+00      0      0    -0.484      2        1    -0.022    0.000 
17.00   17.00   201.00   201.00   -5.000E-01   4.000E+00   5.677E-02    3.480E-06     9.962E-01      0.000E+00     0.000E+00     1.127E+00      0      0    -0.484      2        1    -0.022    0.000 
18.00   18.00   201.00   201.00   -5.000E-01   4.000E+00   5.556E-02    3.101E-06     9.962E-01      0.000E+00     0.000E+00     1.122E+00      0      0    -0.484      2        1    -0.022    0.000 
19.00   19.00   201.00   201.00   -5.000E-01   4.000E+00   5.436E-02    2.780E-06     9.962E-01      0.000E+00     0.000E+00     1.116E+00      0      0    -0.484      2        1    -0.022    0.000 
20.00   20.00   201.00   201.00   -5.000E-01   4.000E+00   5.316E-02    2.506E-06     9.962E-01      0.000E+00     0.000E+00     1.110E+00      0      0    -0.484      2        1    -0.022    0.000 
21.00   21.00   201.00   201.00   -5.000E-01   4.000E+00   5.195E-02    2.271E-06     9.961E-01      0.000E+00     0.000E+00     1.103E+00      0      0    -0.484      2        1    -0.022    0.000 
22.00   22.00   201.00   201.00   -5.000E-01   4.000E+00   5.071E-02    2.066E-06     9.961E-01      0.000E+00     0.000E+00     1.096E+00      0      0    -0.484      2        1    -0.022    0.000 
