mh1	PSI
10	1.0434078398745297e-8
11	6.026816102104676e-9
12	3.672949983451879e-9
13	2.9011827365603563e-9
14	2.307408335215175e-9
15	1.9629022349276445e-9
16	1.6821970215517195e-9
17	1.4743437472580442e-9
18	1.3116858217919518e-9
19	1.2078581595782397e-9
20	1.1023226590772503e-9
21	1.008468522688737e-9
22	9.98512827409074e-10
23	9.61247557077888e-10
24	8.880226908013802e-10
25	8.558054955161088e-10
26	8.26370354243422e-10
27	7.985899277667557e-10
28	7.819930548002799e-10
29	7.708689277567878e-10
30	7.58709960873433e-10
31	7.470027980013835e-10
32	7.378570706348732e-10
33	7.319126793839937e-10
34	7.286149743479865e-10
35	7.285779132673436e-10
36	7.308927017977957e-10
37	7.342548537235725e-10
38	7.365077317218686e-10
39	7.385136447447709e-10
40	7.404366930235578e-10
41	7.421296785516785e-10
42	7.43753498252455e-10
43	7.455989248326756e-10
44	7.478434577329736e-10
45	7.510601408109497e-10
46	7.54810334512403e-10
47	7.590612096252618e-10
48	7.637624356460032e-10
49	7.688876162228894e-10
50	7.744375506945862e-10
51	7.803955154004725e-10
52	7.867343809056588e-10
53	7.934469440182399e-10
54	8.005267029123352e-10
55	8.079627564001054e-10
56	8.158882869148684e-10
57	8.2419936338307e-10
58	8.327154736572911e-10
59	8.413468553997371e-10
60	8.499417588847382e-10
61	8.582329436313999e-10
62	8.664680314745333e-10
63	8.746482540746987e-10
64	8.827748430924563e-10
65	8.905251515141025e-10
66	8.978466062888773e-10
67	9.053607459407456e-10
68	9.13256064584527e-10
69	9.217210563350412e-10
70	9.319855144095398e-10
71	9.45808052483526e-10
72	9.598541040147552e-10
73	9.735081278448308e-10
74	9.861545828153554e-10
75	9.971779277679327e-10
76	1.0011630807792676e-9
77	1.0013833538803799e-9
78	1.000653373985883e-9
79	9.99764842679572e-10
80	9.995094615452413e-10
81	1.0031151506898523e-9
82	1.012311574509149e-9
83	1.0229547978785927e-9
84	1.0346041187724926e-9
85	1.0468188351651576e-9
86	1.059158245030897e-9
87	1.0682355360315183e-9
88	1.0755162872842898e-9
89	1.0824312241651017e-9
90	1.0891778627849007e-9
91	1.0959537192546337e-9
92	1.1029563096852472e-9
93	1.110383150187688e-9
94	1.119887350917889e-9
95	1.1302147890542164e-9
96	1.1409370831974642e-9
97	1.1519690911957038e-9
98	1.1632256708970063e-9
99	1.1745796937999827e-9
100	1.1855296171426112e-9
101	1.19649845357665e-9
102	1.2074757015202855e-9
103	1.2184508593917033e-9
104	1.2294134256090895e-9
105	1.2403528985906303e-9
106	1.2512440171666628e-9
107	1.261964170598271e-9
108	1.2726542191317525e-9
109	1.2833231511854208e-9
110	1.2939799551775903e-9
111	1.3046336195265746e-9
112	1.3152931326506875e-9
113	1.3260546757210993e-9
114	1.3368982581510517e-9
115	1.347755639282425e-9
116	1.3586187022903705e-9
117	1.3694793303500395e-9
118	1.3803294066365831e-9
119	1.3911608143251523e-9
120	1.4019654365908986e-9
121	1.4126408312899195e-9
122	1.4232338911987036e-9
123	1.4338032801025686e-9
124	1.4443559167017302e-9
125	1.4548987196964035e-9
126	1.465438607786804e-9
127	1.4759824996731475e-9
128	1.4865049511187363e-9
129	1.496945204353873e-9
130	1.5074185579648935e-9
131	1.5179437387869284e-9
132	1.5285394736551084e-9
133	1.5392244894045639e-9
134	1.5500175128704258e-9
135	1.5609372708878244e-9
136	1.5720024902918902e-9
137	1.5834072317749084e-9
138	1.5955728918857683e-9
139	1.607852064510539e-9
140	1.6202017179852987e-9
141	1.6325788206461253e-9
142	1.6449403408290967e-9
143	1.6572432468702908e-9
144	1.6694445071057856e-9
145	1.6815010898716591e-9
146	1.6926979814476743e-9
147	1.7035496979403067e-9
148	1.7142363987383303e-9
149	1.7247814212381029e-9
150	1.7352081028359822e-9
151	1.7455397809283258e-9
152	1.7557997929114919e-9
153	1.7660114761818379e-9
154	1.7761981681357219e-9
155	1.786761308110722e-9
156	1.7973910315577999e-9
157	1.8080334712483313e-9
158	1.8186856935330053e-9
159	1.8293447647625105e-9
160	1.8400077512875356e-9
161	1.8506717194587695e-9
162	1.861333735626901e-9
163	1.871990866142619e-9
164	1.8826401773566116e-9
165	1.8932787356195684e-9
166	1.903842136748773e-9
167	1.914393014080638e-9
168	1.9249319581430212e-9
169	1.9354594343184986e-9
170	1.945975907989644e-9
171	1.956481844539033e-9
172	1.9669777093492397e-9
173	1.97746396780284e-9
174	1.987941085282408e-9
175	1.9984095271705184e-9
176	2.008653427079424e-9
177	2.018852592105043e-9
178	2.0290578820744797e-9
179	2.0392818456523567e-9
180	2.0495370315032954e-9
181	2.0598359882919183e-9
182	2.0701912646828474e-9
183	2.080615409340704e-9
184	2.091120970930111e-9
185	2.1017204981156894e-9
186	2.1124265395620614e-9
187	2.1232516439338497e-9
188	2.134616913394561e-9
189	2.1465406982031393e-9
190	2.1585582149713473e-9
191	2.1706462028719667e-9
192	2.1827814010777773e-9
193	2.19494054876156e-9
194	2.207100385096096e-9
195	2.219237649254165e-9
196	2.231329080408549e-9
197	2.243351417732028e-9
198	2.255281400397383e-9
199	2.2670957675773945e-9
200	2.278771258444843e-9
