 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   10.00   201.00   201.00   1.000E+00   3.730E+00   1.908E-02    4.011E-05     9.991E-01      0.000E+00     0.000E+00     4.611E+00      0      0    1.003      3        1    -0.022    0.000 
11.00   11.00   201.00   201.00   1.000E+00   3.730E+00   1.808E-02    3.322E-05     9.991E-01      0.000E+00     0.000E+00     4.598E+00      0      0    1.003      3        1    -0.022    0.000 
12.00   12.00   201.00   201.00   1.000E+00   3.730E+00   1.736E-02    2.796E-05     9.991E-01      0.000E+00     0.000E+00     4.584E+00      0      0    1.003      3        1    -0.022    0.000 
13.00   13.00   201.00   201.00   1.000E+00   3.730E+00   1.680E-02    2.384E-05     9.991E-01      0.000E+00     0.000E+00     4.569E+00      0      0    1.003      3        1    -0.022    0.000 
14.00   14.00   201.00   201.00   1.000E+00   3.730E+00   1.634E-02    2.056E-05     9.991E-01      0.000E+00     0.000E+00     4.553E+00      0      0    1.003      3        1    -0.022    0.000 
15.00   15.00   201.00   201.00   1.000E+00   3.730E+00   1.593E-02    1.790E-05     9.991E-01      0.000E+00     0.000E+00     4.535E+00      0      0    1.003      3        1    -0.022    0.000 
16.00   16.00   201.00   201.00   1.000E+00   3.730E+00   1.557E-02    1.573E-05     9.991E-01      0.000E+00     0.000E+00     4.516E+00      0      0    1.003      3        1    -0.022    0.000 
17.00   17.00   201.00   201.00   1.000E+00   3.730E+00   1.523E-02    1.392E-05     9.991E-01      0.000E+00     0.000E+00     4.495E+00      0      0    1.003      3        1    -0.022    0.000 
18.00   18.00   201.00   201.00   1.000E+00   3.730E+00   1.489E-02    1.240E-05     9.990E-01      0.000E+00     0.000E+00     4.474E+00      0      0    1.003      3        1    -0.022    0.000 
19.00   19.00   201.00   201.00   1.000E+00   3.730E+00   1.457E-02    1.112E-05     9.990E-01      0.000E+00     0.000E+00     4.450E+00      0      0    1.003      3        1    -0.022    0.000 
20.00   20.00   201.00   201.00   1.000E+00   3.730E+00   1.424E-02    1.003E-05     9.990E-01      0.000E+00     0.000E+00     4.426E+00      0      0    1.003      3        1    -0.022    0.000 
21.00   21.00   201.00   201.00   1.000E+00   3.730E+00   1.391E-02    9.083E-06     9.990E-01      0.000E+00     0.000E+00     4.400E+00      0      0    1.003      3        1    -0.022    0.000 
22.00   22.00   201.00   201.00   1.000E+00   3.730E+00   1.358E-02    8.265E-06     9.990E-01      0.000E+00     0.000E+00     4.373E+00      0      0    1.003      3        1    -0.022    0.000 
23.00   23.00   201.00   201.00   1.000E+00   3.730E+00   1.324E-02    7.552E-06     9.990E-01      0.000E+00     0.000E+00     4.344E+00      0      0    1.003      3        1    -0.021    0.000 
24.00   24.00   201.00   201.00   1.000E+00   3.730E+00   1.289E-02    6.927E-06     9.990E-01      0.000E+00     0.000E+00     4.313E+00      0      0    1.003      3        1    -0.021    0.000 
25.00   25.00   201.00   201.00   1.000E+00   3.730E+00   1.253E-02    6.375E-06     9.990E-01      0.000E+00     0.000E+00     4.282E+00      0      0    1.003      3        1    -0.021    0.000 
26.00   26.00   201.00   201.00   1.000E+00   3.730E+00   1.216E-02    5.886E-06     9.990E-01      0.000E+00     0.000E+00     4.248E+00      0      0    1.003      3        1    -0.021    0.000 
27.00   27.00   201.00   201.00   1.000E+00   3.730E+00   1.178E-02    5.451E-06     9.990E-01      0.000E+00     0.000E+00     4.213E+00      0      0    1.003      3        1    -0.021    0.000 
28.00   28.00   201.00   201.00   1.000E+00   3.730E+00   1.139E-02    5.062E-06     9.990E-01      0.000E+00     0.000E+00     4.177E+00      0      0    1.003      3        1    -0.021    0.000 
29.00   29.00   201.00   201.00   1.000E+00   3.730E+00   1.100E-02    4.712E-06     9.990E-01      0.000E+00     0.000E+00     4.138E+00      0      0    1.003      3        1    -0.021    0.000 
30.00   30.00   201.00   201.00   1.000E+00   3.730E+00   1.060E-02    4.398E-06     9.990E-01      0.000E+00     0.000E+00     4.098E+00      0      0    1.003      3        1    -0.021    0.000 
31.00   31.00   201.00   201.00   1.000E+00   3.730E+00   1.018E-02    4.113E-06     9.990E-01      0.000E+00     0.000E+00     4.057E+00      0      0    1.003      3        1    -0.021    0.000 
32.00   32.00   201.00   201.00   1.000E+00   3.730E+00   9.766E-03    3.855E-06     9.989E-01      0.000E+00     0.000E+00     4.013E+00      0      0    1.003      3        1    -0.021    0.000 
33.00   33.00   201.00   201.00   1.000E+00   3.730E+00   9.342E-03    3.620E-06     9.989E-01      0.000E+00     0.000E+00     3.968E+00      0      0    1.003      3        1    -0.021    0.000 
34.00   34.00   201.00   201.00   1.000E+00   3.730E+00   8.913E-03    3.406E-06     9.989E-01      0.000E+00     0.000E+00     3.920E+00      0      0    1.003      3        1    -0.021    0.000 
35.00   35.00   201.00   201.00   1.000E+00   3.730E+00   8.479E-03    3.210E-06     9.989E-01      0.000E+00     0.000E+00     3.871E+00      0      0    1.003      3        1    -0.021    0.000 
36.00   36.00   201.00   201.00   1.000E+00   3.730E+00   8.042E-03    3.030E-06     9.989E-01      0.000E+00     0.000E+00     3.819E+00      0      0    1.003      3        1    -0.021    0.000 
37.00   37.00   201.00   201.00   1.000E+00   3.730E+00   7.603E-03    2.865E-06     9.989E-01      0.000E+00     0.000E+00     3.766E+00      0      0    1.003      3        1    -0.021    0.000 
38.00   38.00   201.00   201.00   1.000E+00   3.730E+00   7.163E-03    2.713E-06     9.989E-01      0.000E+00     0.000E+00     3.710E+00      0      0    1.003      3        1    -0.020    0.000 
39.00   39.00   201.00   201.00   1.000E+00   3.730E+00   6.722E-03    2.573E-06     9.988E-01      0.000E+00     0.000E+00     3.651E+00      0      0    1.003      3        1    -0.020    0.000 
40.00   40.00   201.00   201.00   1.000E+00   3.730E+00   6.281E-03    2.443E-06     9.988E-01      0.000E+00     0.000E+00     3.590E+00      0      0    1.003      3        1    -0.020    0.000 
41.00   41.00   201.00   201.00   1.000E+00   3.730E+00   5.843E-03    2.322E-06     9.988E-01      0.000E+00     0.000E+00     3.527E+00      0      0    1.003      3        1    -0.020    0.000 
42.00   42.00   201.00   201.00   1.000E+00   3.730E+00   5.412E-03    2.210E-06     9.988E-01      0.000E+00     0.000E+00     3.460E+00      0      0    1.003      3        1    -0.020    0.000 
43.00   43.00   201.00   201.00   1.000E+00   3.730E+00   4.983E-03    2.106E-06     9.987E-01      0.000E+00     0.000E+00     3.391E+00      0      0    1.003      3        1    -0.020    0.000 
44.00   44.00   201.00   201.00   1.000E+00   3.730E+00   4.560E-03    2.009E-06     9.987E-01      0.000E+00     0.000E+00     3.319E+00      0      0    1.003      3        1    -0.020    0.000 
45.00   45.00   201.00   201.00   1.000E+00   3.730E+00   4.144E-03    1.919E-06     9.987E-01      0.000E+00     0.000E+00     3.243E+00      0      0    1.003      3        1    -0.020    0.000 
46.00   46.00   201.00   201.00   1.000E+00   3.730E+00   3.736E-03    1.834E-06     9.987E-01      0.000E+00     0.000E+00     3.164E+00      0      0    1.003      3        1    -0.020    0.000 
47.00   47.00   201.00   201.00   1.000E+00   3.730E+00   3.339E-03    1.755E-06     9.986E-01      0.000E+00     0.000E+00     3.081E+00      0      0    1.003      3        1    -0.020    0.000 
48.00   48.00   201.00   201.00   1.000E+00   3.730E+00   2.953E-03    1.681E-06     9.986E-01      0.000E+00     0.000E+00     2.993E+00      0      0    1.003      3        1    -0.020    0.000 
49.00   49.00   201.00   201.00   1.000E+00   3.730E+00   2.580E-03    1.612E-06     9.985E-01      0.000E+00     0.000E+00     2.901E+00      0      0    1.003      3        1    -0.019    0.000 
50.00   50.00   201.00   201.00   1.000E+00   3.730E+00   2.221E-03    1.546E-06     9.985E-01      0.000E+00     0.000E+00     2.804E+00      0      0    1.003      3        1    -0.019    0.000 
51.00   51.00   201.00   201.00   1.000E+00   3.730E+00   1.878E-03    1.485E-06     9.984E-01      0.000E+00     0.000E+00     2.702E+00      0      0    1.003      3        1    -0.019    0.000 
52.00   52.00   201.00   201.00   1.000E+00   3.730E+00   1.549E-03    1.427E-06     9.984E-01      0.000E+00     0.000E+00     2.593E+00      0      0    1.003      3        1    -0.019    0.000 
53.00   53.00   201.00   201.00   1.000E+00   3.730E+00   1.256E-03    1.372E-06     9.983E-01      0.000E+00     0.000E+00     2.478E+00      0      0    1.003      3        1    -0.019    0.000 
54.00   54.00   201.00   201.00   1.000E+00   3.730E+00   9.618E-04    1.320E-06     9.982E-01      0.000E+00     0.000E+00     2.354E+00      0      0    1.003      3        1    -0.019    0.000 
55.00   55.00   201.00   201.00   1.000E+00   3.730E+00   6.936E-04    1.272E-06     9.981E-01      0.000E+00     0.000E+00     2.221E+00      0      0    1.003      3        1    -0.019    0.000 
56.00   56.00   201.00   201.00   1.000E+00   3.730E+00   4.618E-04    1.225E-06     9.980E-01      0.000E+00     0.000E+00     2.077E+00      0      0    1.003      3        1    -0.019    0.000 
57.00   57.00   201.00   201.00   1.000E+00   3.730E+00   2.770E-04    1.182E-06     9.978E-01      0.000E+00     0.000E+00     1.919E+00      0      0    1.003      3        1    -0.019    0.000 
58.00   58.00   201.00   201.00   1.000E+00   3.730E+00   1.465E-04    1.140E-06     9.976E-01      0.000E+00     0.000E+00     1.743E+00      0      0    1.003      3        1    -0.019    0.000 
59.00   59.00   201.00   201.00   1.000E+00   3.730E+00   6.700E-05    1.101E-06     9.972E-01      0.000E+00     0.000E+00     1.544E+00      0      0    1.003      3        1    -0.018    0.000 
60.00   60.00   201.00   201.00   1.000E+00   3.730E+00   2.591E-05    1.064E-06     9.968E-01      0.000E+00     0.000E+00     1.311E+00      0      0    1.003      3        1    -0.018    0.000 
61.00   61.00   201.00   201.00   1.000E+00   3.730E+00   8.257E-06    1.028E-06     9.958E-01      0.000E+00     0.000E+00     1.021E+00      0      0    1.003      3        1    -0.018    0.000 
62.00   62.00   201.00   201.00   1.000E+00   3.730E+00   1.621E-06    9.943E-07     9.928E-01      0.000E+00     0.000E+00     5.934E-01      0      0    1.003      3        1    -0.018    0.000 
63.00   63.00   201.00   201.00   1.000E+00   3.730E+00   1.499E-05    9.622E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.018    0.000 
64.00   64.00   201.00   201.00   1.000E+00   3.730E+00   7.079E-05    9.316E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.018    0.000 
65.00   65.00   201.00   201.00   1.000E+00   3.730E+00   1.507E-04    9.024E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.018    0.000 
66.00   66.00   201.00   201.00   1.000E+00   3.730E+00   2.459E-04    8.745E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.018    0.000 
67.00   67.00   201.00   201.00   1.000E+00   3.730E+00   3.489E-04    8.479E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.018    0.000 
68.00   68.00   201.00   201.00   1.000E+00   3.730E+00   4.521E-04    8.225E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
69.00   69.00   201.00   201.00   1.000E+00   3.730E+00   5.489E-04    7.982E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
70.00   70.00   201.00   201.00   1.000E+00   3.730E+00   6.325E-04    7.749E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
71.00   71.00   201.00   201.00   1.000E+00   3.730E+00   6.992E-04    7.527E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
72.00   72.00   201.00   201.00   1.000E+00   3.730E+00   7.436E-04    7.314E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
73.00   73.00   201.00   201.00   1.000E+00   3.730E+00   7.620E-04    7.109E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
74.00   74.00   201.00   201.00   1.000E+00   3.730E+00   7.506E-04    6.913E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
75.00   75.00   201.00   201.00   1.000E+00   3.730E+00   7.086E-04    6.725E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
76.00   76.00   201.00   201.00   1.000E+00   3.730E+00   6.357E-04    6.545E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.017    0.000 
77.00   77.00   201.00   201.00   1.000E+00   3.730E+00   5.363E-04    6.371E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
78.00   78.00   201.00   201.00   1.000E+00   3.730E+00   4.197E-04    6.204E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
79.00   79.00   201.00   201.00   1.000E+00   3.730E+00   3.144E-04    6.044E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
80.00   80.00   201.00   201.00   1.000E+00   3.730E+00   2.268E-04    5.890E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
81.00   81.00   201.00   201.00   1.000E+00   3.730E+00   1.760E-04    5.741E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
82.00   82.00   201.00   201.00   1.000E+00   3.730E+00   1.522E-04    5.598E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
83.00   83.00   201.00   201.00   1.000E+00   3.730E+00   1.402E-04    5.460E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
84.00   84.00   201.00   201.00   1.000E+00   3.730E+00   1.337E-04    5.327E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.016    0.000 
85.00   85.00   201.00   201.00   1.000E+00   3.730E+00   1.287E-04    5.198E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
86.00   86.00   201.00   201.00   1.000E+00   3.730E+00   1.271E-04    5.074E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
87.00   87.00   201.00   201.00   1.000E+00   3.730E+00   1.260E-04    4.955E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
88.00   88.00   201.00   201.00   1.000E+00   3.730E+00   1.248E-04    4.840E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
89.00   89.00   201.00   201.00   1.000E+00   3.730E+00   1.232E-04    4.728E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
90.00   90.00   201.00   201.00   1.000E+00   3.730E+00   1.203E-04    4.620E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
91.00   91.00   201.00   201.00   1.000E+00   3.730E+00   1.163E-04    4.516E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
92.00   92.00   201.00   201.00   1.000E+00   3.730E+00   1.128E-04    4.416E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.015    0.000 
93.00   93.00   201.00   201.00   1.000E+00   3.730E+00   1.106E-04    4.318E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
94.00   94.00   201.00   201.00   1.000E+00   3.730E+00   1.094E-04    4.224E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
95.00   95.00   201.00   201.00   1.000E+00   3.730E+00   1.089E-04    4.133E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
96.00   96.00   201.00   201.00   1.000E+00   3.730E+00   1.089E-04    4.045E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
97.00   97.00   201.00   201.00   1.000E+00   3.730E+00   1.090E-04    3.959E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
98.00   98.00   201.00   201.00   1.000E+00   3.730E+00   1.096E-04    3.876E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
99.00   99.00   201.00   201.00   1.000E+00   3.730E+00   1.104E-04    3.796E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
100.00   100.00   201.00   201.00   1.000E+00   3.730E+00   1.113E-04    3.718E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.014    0.000 
101.00   101.00   201.00   201.00   1.000E+00   3.730E+00   1.122E-04    3.643E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.013    0.000 
102.00   102.00   201.00   201.00   1.000E+00   3.730E+00   1.132E-04    3.569E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.013    0.000 
103.00   103.00   201.00   201.00   1.000E+00   3.730E+00   1.142E-04    3.498E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.013    0.000 
104.00   104.00   201.00   201.00   1.000E+00   3.730E+00   1.152E-04    3.429E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.003      3        1    -0.013    0.000 
