    Mh1      lim inf      Omega     lim sup  
0.000E+00  1.060E-01  1.120E-01  1.180E-01
1.000E+00  1.060E-01  1.120E-01  1.180E-01
2.000E+00  1.060E-01  1.120E-01  1.180E-01
3.000E+00  1.060E-01  1.120E-01  1.180E-01
4.000E+00  1.060E-01  1.120E-01  1.180E-01
5.000E+00  1.060E-01  1.120E-01  1.180E-01
6.000E+00  1.060E-01  1.120E-01  1.180E-01
7.000E+00  1.060E-01  1.120E-01  1.180E-01
8.000E+00  1.060E-01  1.120E-01  1.180E-01
9.000E+00  1.060E-01  1.120E-01  1.180E-01
1.000E+01  1.060E-01  1.120E-01  1.180E-01
1.100E+01  1.060E-01  1.120E-01  1.180E-01
1.200E+01  1.060E-01  1.120E-01  1.180E-01
1.300E+01  1.060E-01  1.120E-01  1.180E-01
1.400E+01  1.060E-01  1.120E-01  1.180E-01
1.500E+01  1.060E-01  1.120E-01  1.180E-01
1.600E+01  1.060E-01  1.120E-01  1.180E-01
1.700E+01  1.060E-01  1.120E-01  1.180E-01
1.800E+01  1.060E-01  1.120E-01  1.180E-01
1.900E+01  1.060E-01  1.120E-01  1.180E-01
2.000E+01  1.060E-01  1.120E-01  1.180E-01
2.100E+01  1.060E-01  1.120E-01  1.180E-01
2.200E+01  1.060E-01  1.120E-01  1.180E-01
2.300E+01  1.060E-01  1.120E-01  1.180E-01
2.400E+01  1.060E-01  1.120E-01  1.180E-01
2.500E+01  1.060E-01  1.120E-01  1.180E-01
2.600E+01  1.060E-01  1.120E-01  1.180E-01
2.700E+01  1.060E-01  1.120E-01  1.180E-01
2.800E+01  1.060E-01  1.120E-01  1.180E-01
2.900E+01  1.060E-01  1.120E-01  1.180E-01
3.000E+01  1.060E-01  1.120E-01  1.180E-01
3.100E+01  1.060E-01  1.120E-01  1.180E-01
3.200E+01  1.060E-01  1.120E-01  1.180E-01
3.300E+01  1.060E-01  1.120E-01  1.180E-01
3.400E+01  1.060E-01  1.120E-01  1.180E-01
3.500E+01  1.060E-01  1.120E-01  1.180E-01
3.600E+01  1.060E-01  1.120E-01  1.180E-01
3.700E+01  1.060E-01  1.120E-01  1.180E-01
3.800E+01  1.060E-01  1.120E-01  1.180E-01
3.900E+01  1.060E-01  1.120E-01  1.180E-01
4.000E+01  1.060E-01  1.120E-01  1.180E-01
4.100E+01  1.060E-01  1.120E-01  1.180E-01
4.200E+01  1.060E-01  1.120E-01  1.180E-01
4.300E+01  1.060E-01  1.120E-01  1.180E-01
4.400E+01  1.060E-01  1.120E-01  1.180E-01
4.500E+01  1.060E-01  1.120E-01  1.180E-01
4.600E+01  1.060E-01  1.120E-01  1.180E-01
4.700E+01  1.060E-01  1.120E-01  1.180E-01
4.800E+01  1.060E-01  1.120E-01  1.180E-01
4.900E+01  1.060E-01  1.120E-01  1.180E-01
5.000E+01  1.060E-01  1.120E-01  1.180E-01
5.100E+01  1.060E-01  1.120E-01  1.180E-01
5.200E+01  1.060E-01  1.120E-01  1.180E-01
5.300E+01  1.060E-01  1.120E-01  1.180E-01
5.400E+01  1.060E-01  1.120E-01  1.180E-01
5.500E+01  1.060E-01  1.120E-01  1.180E-01
5.600E+01  1.060E-01  1.120E-01  1.180E-01
5.700E+01  1.060E-01  1.120E-01  1.180E-01
5.800E+01  1.060E-01  1.120E-01  1.180E-01
5.900E+01  1.060E-01  1.120E-01  1.180E-01
6.000E+01  1.060E-01  1.120E-01  1.180E-01
6.100E+01  1.060E-01  1.120E-01  1.180E-01
6.200E+01  1.060E-01  1.120E-01  1.180E-01
6.300E+01  1.060E-01  1.120E-01  1.180E-01
6.400E+01  1.060E-01  1.120E-01  1.180E-01
6.500E+01  1.060E-01  1.120E-01  1.180E-01
6.600E+01  1.060E-01  1.120E-01  1.180E-01
6.700E+01  1.060E-01  1.120E-01  1.180E-01
6.800E+01  1.060E-01  1.120E-01  1.180E-01
6.900E+01  1.060E-01  1.120E-01  1.180E-01
7.000E+01  1.060E-01  1.120E-01  1.180E-01
7.100E+01  1.060E-01  1.120E-01  1.180E-01
7.200E+01  1.060E-01  1.120E-01  1.180E-01
7.300E+01  1.060E-01  1.120E-01  1.180E-01
7.400E+01  1.060E-01  1.120E-01  1.180E-01
7.500E+01  1.060E-01  1.120E-01  1.180E-01
7.600E+01  1.060E-01  1.120E-01  1.180E-01
7.700E+01  1.060E-01  1.120E-01  1.180E-01
7.800E+01  1.060E-01  1.120E-01  1.180E-01
7.900E+01  1.060E-01  1.120E-01  1.180E-01
8.000E+01  1.060E-01  1.120E-01  1.180E-01
8.100E+01  1.060E-01  1.120E-01  1.180E-01
8.200E+01  1.060E-01  1.120E-01  1.180E-01
8.300E+01  1.060E-01  1.120E-01  1.180E-01
8.400E+01  1.060E-01  1.120E-01  1.180E-01
8.500E+01  1.060E-01  1.120E-01  1.180E-01
8.600E+01  1.060E-01  1.120E-01  1.180E-01
8.700E+01  1.060E-01  1.120E-01  1.180E-01
8.800E+01  1.060E-01  1.120E-01  1.180E-01
8.900E+01  1.060E-01  1.120E-01  1.180E-01
9.000E+01  1.060E-01  1.120E-01  1.180E-01
9.100E+01  1.060E-01  1.120E-01  1.180E-01
9.200E+01  1.060E-01  1.120E-01  1.180E-01
9.300E+01  1.060E-01  1.120E-01  1.180E-01
9.400E+01  1.060E-01  1.120E-01  1.180E-01
