 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.899E+01    1.604E-08     3.022E-01      0.000E+00     0.000E+00     6.097E-03      1      1    -0.019      2        1    -0.022    0.000 
11.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.769E+01    1.329E-08     3.016E-01      0.000E+00     0.000E+00     6.092E-03      1      1    -0.019      2        1    -0.022    0.000 
12.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.675E+01    1.118E-08     3.010E-01      0.000E+00     0.000E+00     6.087E-03      1      1    -0.019      2        1    -0.022    0.000 
13.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.602E+01    9.534E-09     3.003E-01      0.000E+00     0.000E+00     6.081E-03      1      1    -0.019      2        1    -0.022    0.000 
14.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.542E+01    8.222E-09     2.995E-01      0.000E+00     0.000E+00     6.074E-03      1      1    -0.019      2        1    -0.022    0.000 
15.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.489E+01    7.161E-09     2.987E-01      0.000E+00     0.000E+00     6.067E-03      1      1    -0.019      2        1    -0.022    0.000 
16.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.440E+01    6.290E-09     2.978E-01      0.000E+00     0.000E+00     6.059E-03      1      1    -0.019      2        1    -0.022    0.000 
17.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.393E+01    5.568E-09     2.969E-01      0.000E+00     0.000E+00     6.051E-03      1      1    -0.019      2        1    -0.022    0.000 
18.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.347E+01    4.962E-09     2.959E-01      0.000E+00     0.000E+00     6.042E-03      1      1    -0.019      2        1    -0.022    0.000 
19.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.302E+01    4.449E-09     2.948E-01      0.000E+00     0.000E+00     6.033E-03      1      1    -0.019      2        1    -0.022    0.000 
20.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.255E+01    4.010E-09     2.936E-01      0.000E+00     0.000E+00     6.023E-03      1      1    -0.019      2        1    -0.022    0.000 
21.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.208E+01    3.633E-09     2.924E-01      0.000E+00     0.000E+00     6.013E-03      1      1    -0.019      2        1    -0.022    0.000 
22.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.159E+01    3.306E-09     2.911E-01      0.000E+00     0.000E+00     6.002E-03      1      1    -0.019      2        1    -0.022    0.000 
23.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.109E+01    3.021E-09     2.898E-01      0.000E+00     0.000E+00     5.990E-03      1      1    -0.019      2        1    -0.022    0.000 
24.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.057E+01    2.771E-09     2.883E-01      0.000E+00     0.000E+00     5.978E-03      1      1    -0.019      2        1    -0.022    0.000 
25.00   1000.1   1000.1   -2.000E-02   4.000E+00   2.003E+01    2.550E-09     2.868E-01      0.000E+00     0.000E+00     5.966E-03      1      1    -0.019      2        1    -0.022    0.000 
26.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.947E+01    2.355E-09     2.852E-01      0.000E+00     0.000E+00     5.952E-03      1      1    -0.019      2        1    -0.022    0.000 
27.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.889E+01    2.180E-09     2.835E-01      0.000E+00     0.000E+00     5.938E-03      1      1    -0.019      2        1    -0.022    0.000 
28.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.831E+01    2.025E-09     2.818E-01      0.000E+00     0.000E+00     5.924E-03      1      1    -0.019      2        1    -0.022    0.000 
29.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.770E+01    1.885E-09     2.799E-01      0.000E+00     0.000E+00     5.908E-03      1      1    -0.019      2        1    -0.022    0.000 
30.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.707E+01    1.759E-09     2.779E-01      0.000E+00     0.000E+00     5.892E-03      1      1    -0.019      2        1    -0.022    0.000 
31.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.643E+01    1.645E-09     2.759E-01      0.000E+00     0.000E+00     5.876E-03      1      1    -0.019      2        1    -0.022    0.000 
32.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.577E+01    1.542E-09     2.737E-01      0.000E+00     0.000E+00     5.858E-03      1      1    -0.019      2        1    -0.022    0.000 
33.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.510E+01    1.448E-09     2.715E-01      0.000E+00     0.000E+00     5.840E-03      1      1    -0.019      2        1    -0.022    0.000 
34.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.442E+01    1.362E-09     2.691E-01      0.000E+00     0.000E+00     5.821E-03      1      1    -0.019      2        1    -0.022    0.000 
35.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.372E+01    1.284E-09     2.666E-01      0.000E+00     0.000E+00     5.801E-03      1      1    -0.019      2        1    -0.022    0.000 
36.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.303E+01    1.212E-09     2.640E-01      0.000E+00     0.000E+00     5.781E-03      1      1    -0.019      2        1    -0.022    0.000 
37.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.232E+01    1.146E-09     2.612E-01      0.000E+00     0.000E+00     5.759E-03      1      1    -0.019      2        1    -0.022    0.000 
38.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.152E+01    1.085E-09     2.584E-01      0.000E+00     0.000E+00     5.737E-03      1      1    -0.019      2        1    -0.022    0.000 
39.00   1000.1   1000.1   -2.000E-02   4.000E+00   1.079E+01    1.029E-09     2.553E-01      0.000E+00     0.000E+00     5.713E-03      1      1    -0.019      2        1    -0.022    0.000 
40.00   1000.1   1000.1   -2.000E-02   4.000E+00   9.759E+00    9.771E-10     2.521E-01      0.000E+00     0.000E+00     5.689E-03      1      1    -0.019      2        1    -0.022    0.000 
41.00   1000.1   1000.1   -2.000E-02   4.000E+00   8.943E+00    9.289E-10     2.488E-01      0.000E+00     0.000E+00     5.664E-03      1      1    -0.019      2        1    -0.022    0.000 
