 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   11.00   11.00   -1.000E-03   8.000E+00   2.450E-02    5.298E-11     1.068E-03      8.584E-05     1.717E-04     4.312E-03      1      1    -0.000      2        -8    -0.002    0.000 
11.00   12.00   12.00   -1.000E-03   8.000E+00   2.085E-02    4.403E-11     1.066E-03      4.941E-05     9.883E-05     4.310E-03      1      1    -0.000      2        -8    -0.002    0.000 
12.00   13.00   13.00   -1.000E-03   8.000E+00   1.840E-02    3.715E-11     1.063E-03      2.303E-05     4.606E-05     4.309E-03      1      1    -0.000      2        -8    -0.002    0.000 
13.00   14.00   14.00   -1.000E-03   8.000E+00   1.667E-02    3.175E-11     1.060E-03      6.630E-06     1.326E-05     4.307E-03      1      1    -0.000      2        -8    -0.002    0.000 
14.00   15.00   15.00   -1.000E-03   8.000E+00   1.539E-02    2.743E-11     1.056E-03      1.281E-07     2.562E-07     4.306E-03      1      1    -0.000      2        -8    -0.002    0.000 
15.00   16.00   16.00   -1.000E-03   8.000E+00   1.440E-02    2.393E-11     1.053E-03      3.426E-06     6.851E-06     4.304E-03      1      1    -0.000      2        -8    -0.002    0.000 
16.00   17.00   17.00   -1.000E-03   8.000E+00   1.360E-02    2.106E-11     1.048E-03      1.641E-05     3.281E-05     4.303E-03      1      1    -0.000      2        -8    -0.002    0.000 
17.00   18.00   18.00   -1.000E-03   8.000E+00   1.293E-02    1.867E-11     1.044E-03      3.893E-05     7.787E-05     4.302E-03      1      1    -0.000      2        -8    -0.001    0.000 
18.00   19.00   19.00   -1.000E-03   8.000E+00   1.233E-02    1.666E-11     1.039E-03      7.086E-05     1.417E-04     4.300E-03      1      1    -0.000      2        -8    -0.001    0.000 
19.00   20.00   20.00   -1.000E-03   8.000E+00   1.177E-02    1.495E-11     1.034E-03      1.120E-04     2.240E-04     4.299E-03      1      1    -0.000      2        -8    -0.001    0.000 
20.00   21.00   21.00   -1.000E-03   8.000E+00   1.121E-02    1.350E-11     1.029E-03      1.622E-04     3.243E-04     4.298E-03      1      1    -0.000      2        -8    -0.001    0.000 
21.00   22.00   22.00   -1.000E-03   8.000E+00   1.064E-02    1.224E-11     1.023E-03      2.212E-04     4.423E-04     4.297E-03      1      1    -0.000      2        -8    -0.001    0.000 
22.00   23.00   23.00   -1.000E-03   8.000E+00   1.004E-02    1.115E-11     1.017E-03      2.887E-04     5.775E-04     4.295E-03      1      1    -0.000      2        -8    -0.001    0.000 
23.00   24.00   24.00   -1.000E-03   8.000E+00   9.400E-03    1.020E-11     1.010E-03      3.646E-04     7.292E-04     4.294E-03      1      1    -0.000      2        -8    -0.001    0.000 
24.00   25.00   25.00   -1.000E-03   8.000E+00   8.712E-03    9.360E-12     1.004E-03      4.486E-04     8.971E-04     4.293E-03      1      1    -0.000      2        -8    -0.001    0.000 
25.00   26.00   26.00   -1.000E-03   8.000E+00   7.976E-03    8.622E-12     9.965E-04      5.403E-04     1.081E-03     4.293E-03      1      1    -0.000      2        -8    -0.001    0.000 
26.00   27.00   27.00   -1.000E-03   8.000E+00   7.197E-03    7.967E-12     9.889E-04      6.394E-04     1.279E-03     4.292E-03      1      1    -0.000      2        -8    -0.001    0.000 
27.00   28.00   28.00   -1.000E-03   8.000E+00   6.384E-03    7.383E-12     9.809E-04      7.456E-04     1.491E-03     4.291E-03      1      1    -0.000      2        -8    -0.001    0.000 
28.00   29.00   29.00   -1.000E-03   8.000E+00   5.552E-03    6.860E-12     9.726E-04      8.584E-04     1.717E-03     4.290E-03      1      1    -0.000      2        -8    -0.001    0.000 
29.00   30.00   30.00   -1.000E-03   8.000E+00   4.715E-03    6.391E-12     9.638E-04      9.776E-04     1.955E-03     4.290E-03      1      1    -0.000      2        -8    -0.001    0.000 
30.00   31.00   31.00   -1.000E-03   8.000E+00   3.891E-03    5.968E-12     9.546E-04      1.103E-03     2.205E-03     4.289E-03      1      1    -0.000      2        -8    -0.001    0.000 
31.00   32.00   32.00   -1.000E-03   8.000E+00   3.099E-03    5.585E-12     9.449E-04      1.233E-03     2.466E-03     4.289E-03      1      1    -0.000      2        -8    -0.001    0.000 
32.00   33.00   33.00   -1.000E-03   8.000E+00   2.353E-03    5.237E-12     9.348E-04      1.368E-03     2.736E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
33.00   34.00   34.00   -1.000E-03   8.000E+00   1.639E-03    4.921E-12     9.243E-04      1.508E-03     3.015E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
34.00   35.00   35.00   -1.000E-03   8.000E+00   1.024E-03    4.632E-12     9.133E-04      1.651E-03     3.302E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
35.00   36.00   36.00   -1.000E-03   8.000E+00   5.530E-04    4.368E-12     9.017E-04      1.797E-03     3.594E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
36.00   37.00   37.00   -1.000E-03   8.000E+00   2.648E-04    4.125E-12     8.897E-04      1.946E-03     3.892E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
37.00   38.00   38.00   -1.000E-03   8.000E+00   1.154E-04    3.902E-12     8.771E-04      2.096E-03     4.193E-03     4.288E-03      1      1    -0.000      2        -8    -0.001    0.000 
38.00   39.00   39.00   -1.000E-03   8.000E+00   5.383E-05    3.696E-12     8.639E-04      2.248E-03     4.495E-03     4.289E-03      1      1    -0.000      2        -8    -0.001    0.000 
