 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   11.00   11.00   -1.000E+00   8.000E+00   1.246E-02    5.298E-05     2.507E-01      2.497E-01     4.994E-01     1.837E+01      1      1    -0.484      2        -8    -0.002    0.000 
11.00   12.00   12.00   -1.000E+00   8.000E+00   1.133E-02    4.403E-05     2.508E-01      2.497E-01     4.993E-01     1.832E+01      1      1    -0.484      2        -8    -0.002    0.000 
12.00   13.00   13.00   -1.000E+00   8.000E+00   1.052E-02    3.715E-05     2.509E-01      2.496E-01     4.993E-01     1.826E+01      1      1    -0.484      2        -8    -0.002    0.000 
13.00   14.00   14.00   -1.000E+00   8.000E+00   9.927E-03    3.175E-05     2.510E-01      2.496E-01     4.992E-01     1.819E+01      1      1    -0.484      2        -8    -0.002    0.000 
14.00   15.00   15.00   -1.000E+00   8.000E+00   9.464E-03    2.743E-05     2.510E-01      2.496E-01     4.991E-01     1.812E+01      1      1    -0.484      2        -8    -0.002    0.000 
15.00   16.00   16.00   -1.000E+00   8.000E+00   9.093E-03    2.393E-05     2.511E-01      2.495E-01     4.991E-01     1.804E+01      1      1    -0.484      2        -8    -0.002    0.000 
16.00   17.00   17.00   -1.000E+00   8.000E+00   8.782E-03    2.106E-05     2.512E-01      2.495E-01     4.990E-01     1.796E+01      1      1    -0.484      2        -8    -0.002    0.000 
17.00   18.00   18.00   -1.000E+00   8.000E+00   8.508E-03    1.867E-05     2.513E-01      2.495E-01     4.990E-01     1.787E+01      1      1    -0.484      2        -8    -0.001    0.000 
18.00   19.00   19.00   -1.000E+00   8.000E+00   8.256E-03    1.666E-05     2.514E-01      2.495E-01     4.989E-01     1.778E+01      1      1    -0.484      2        -8    -0.001    0.000 
19.00   20.00   20.00   -1.000E+00   8.000E+00   8.004E-03    1.495E-05     2.515E-01      2.494E-01     4.989E-01     1.768E+01      1      1    -0.484      2        -8    -0.001    0.000 
20.00   21.00   21.00   -1.000E+00   8.000E+00   7.743E-03    1.350E-05     2.516E-01      2.494E-01     4.988E-01     1.758E+01      1      1    -0.484      2        -8    -0.001    0.000 
21.00   22.00   22.00   -1.000E+00   8.000E+00   7.464E-03    1.224E-05     2.517E-01      2.494E-01     4.987E-01     1.747E+01      1      1    -0.484      2        -8    -0.001    0.000 
22.00   23.00   23.00   -1.000E+00   8.000E+00   7.158E-03    1.115E-05     2.518E-01      2.493E-01     4.987E-01     1.735E+01      1      1    -0.484      2        -8    -0.001    0.000 
23.00   24.00   24.00   -1.000E+00   8.000E+00   6.817E-03    1.020E-05     2.519E-01      2.493E-01     4.986E-01     1.723E+01      1      1    -0.484      2        -8    -0.001    0.000 
24.00   25.00   25.00   -1.000E+00   8.000E+00   6.436E-03    9.360E-06     2.520E-01      2.493E-01     4.985E-01     1.710E+01      1      1    -0.484      2        -8    -0.001    0.000 
25.00   26.00   26.00   -1.000E+00   8.000E+00   6.011E-03    8.622E-06     2.521E-01      2.492E-01     4.985E-01     1.697E+01      1      1    -0.484      2        -8    -0.001    0.000 
26.00   27.00   27.00   -1.000E+00   8.000E+00   5.544E-03    7.967E-06     2.522E-01      2.492E-01     4.984E-01     1.683E+01      1      1    -0.484      2        -8    -0.001    0.000 
27.00   28.00   28.00   -1.000E+00   8.000E+00   5.035E-03    7.383E-06     2.523E-01      2.492E-01     4.983E-01     1.668E+01      1      1    -0.484      2        -8    -0.001    0.000 
28.00   29.00   29.00   -1.000E+00   8.000E+00   4.490E-03    6.860E-06     2.524E-01      2.491E-01     4.982E-01     1.653E+01      1      1    -0.484      2        -8    -0.001    0.000 
29.00   30.00   30.00   -1.000E+00   8.000E+00   3.915E-03    6.391E-06     2.525E-01      2.491E-01     4.981E-01     1.637E+01      1      1    -0.484      2        -8    -0.001    0.000 
30.00   31.00   31.00   -1.000E+00   8.000E+00   3.321E-03    5.968E-06     2.526E-01      2.490E-01     4.981E-01     1.621E+01      1      1    -0.484      2        -8    -0.001    0.000 
31.00   32.00   32.00   -1.000E+00   8.000E+00   2.719E-03    5.585E-06     2.528E-01      2.490E-01     4.980E-01     1.603E+01      1      1    -0.484      2        -8    -0.001    0.000 
32.00   33.00   33.00   -1.000E+00   8.000E+00   2.123E-03    5.237E-06     2.529E-01      2.489E-01     4.979E-01     1.585E+01      1      1    -0.484      2        -8    -0.001    0.000 
33.00   34.00   34.00   -1.000E+00   8.000E+00   1.521E-03    4.921E-06     2.531E-01      2.489E-01     4.978E-01     1.566E+01      1      1    -0.484      2        -8    -0.001    0.000 
34.00   35.00   35.00   -1.000E+00   8.000E+00   9.762E-04    4.632E-06     2.532E-01      2.488E-01     4.977E-01     1.547E+01      1      1    -0.484      2        -8    -0.001    0.000 
35.00   36.00   36.00   -1.000E+00   8.000E+00   5.383E-04    4.368E-06     2.534E-01      2.488E-01     4.976E-01     1.526E+01      1      1    -0.484      2        -8    -0.001    0.000 
36.00   37.00   37.00   -1.000E+00   8.000E+00   2.613E-04    4.125E-06     2.535E-01      2.487E-01     4.975E-01     1.505E+01      1      1    -0.484      2        -8    -0.001    0.000 
37.00   38.00   38.00   -1.000E+00   8.000E+00   1.147E-04    3.902E-06     2.537E-01      2.487E-01     4.973E-01     1.482E+01      1      1    -0.484      2        -8    -0.001    0.000 
38.00   39.00   39.00   -1.000E+00   8.000E+00   5.367E-05    3.696E-06     2.539E-01      2.486E-01     4.972E-01     1.459E+01      1      1    -0.484      2        -8    -0.001    0.000 
39.00   40.00   40.00   -1.000E+00   8.000E+00   4.253E-05    3.507E-06     2.541E-01      2.485E-01     4.971E-01     1.435E+01      1      1    -0.484      2        -8    -0.001    0.000 
40.00   41.00   41.00   -1.000E+00   8.000E+00   1.182E-04    3.331E-06     2.543E-01      2.485E-01     4.969E-01     1.410E+01      1      1    -0.484      2        -8    -0.001    0.000 
41.00   42.00   42.00   -1.000E+00   8.000E+00   2.362E-04    3.168E-06     2.546E-01      2.484E-01     4.967E-01     1.384E+01      1      1    -0.484      2        -8    -0.001    0.000 
42.00   43.00   43.00   -1.000E+00   8.000E+00   2.115E-04    3.016E-06     2.548E-01      2.483E-01     4.966E-01     1.356E+01      1      1    -0.484      2        -8    -0.001    0.000 
43.00   44.00   44.00   -1.000E+00   8.000E+00   1.279E-04    2.876E-06     2.551E-01      2.482E-01     4.964E-01     1.328E+01      1      1    -0.484      2        -8    -0.001    0.000 
44.00   45.00   45.00   -1.000E+00   8.000E+00   8.875E-05    2.744E-06     2.554E-01      2.481E-01     4.962E-01     1.298E+01      1      1    -0.484      2        -8    -0.001    0.000 
