 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   11.00   11.00   1.000E-02   8.000E+00   2.449E-02    5.298E-09     7.255E-02      8.309E-02     1.662E-01     6.350E-03      1      1    0.005      1        -8    -0.002    0.000 
11.00   12.00   12.00   1.000E-02   8.000E+00   2.085E-02    4.403E-09     7.221E-02      8.372E-02     1.674E-01     6.363E-03      1      1    0.005      1        -8    -0.002    0.000 
12.00   13.00   13.00   1.000E-02   8.000E+00   1.840E-02    3.715E-09     7.185E-02      8.434E-02     1.687E-01     6.375E-03      1      1    0.005      1        -8    -0.002    0.000 
13.00   14.00   14.00   1.000E-02   8.000E+00   1.667E-02    3.175E-09     7.148E-02      8.494E-02     1.699E-01     6.386E-03      1      1    0.005      1        -8    -0.002    0.000 
14.00   15.00   15.00   1.000E-02   8.000E+00   1.539E-02    2.743E-09     7.110E-02      8.552E-02     1.710E-01     6.397E-03      1      1    0.005      1        -8    -0.002    0.000 
15.00   16.00   16.00   1.000E-02   8.000E+00   1.440E-02    2.393E-09     7.071E-02      8.608E-02     1.722E-01     6.408E-03      1      1    0.005      1        -8    -0.002    0.000 
16.00   17.00   17.00   1.000E-02   8.000E+00   1.360E-02    2.106E-09     7.031E-02      8.663E-02     1.733E-01     6.417E-03      1      1    0.005      1        -8    -0.002    0.000 
17.00   18.00   18.00   1.000E-02   8.000E+00   1.293E-02    1.867E-09     6.989E-02      8.715E-02     1.743E-01     6.426E-03      1      1    0.005      1        -8    -0.001    0.000 
18.00   19.00   19.00   1.000E-02   8.000E+00   1.233E-02    1.666E-09     6.947E-02      8.765E-02     1.753E-01     6.433E-03      1      1    0.005      1        -8    -0.001    0.000 
19.00   20.00   20.00   1.000E-02   8.000E+00   1.177E-02    1.495E-09     6.903E-02      8.813E-02     1.763E-01     6.440E-03      1      1    0.005      1        -8    -0.001    0.000 
20.00   21.00   21.00   1.000E-02   8.000E+00   1.121E-02    1.350E-09     6.859E-02      8.859E-02     1.772E-01     6.447E-03      1      1    0.005      1        -8    -0.001    0.000 
21.00   22.00   22.00   1.000E-02   8.000E+00   1.064E-02    1.224E-09     6.813E-02      8.902E-02     1.780E-01     6.452E-03      1      1    0.005      1        -8    -0.001    0.000 
22.00   23.00   23.00   1.000E-02   8.000E+00   1.004E-02    1.115E-09     6.766E-02      8.943E-02     1.789E-01     6.456E-03      1      1    0.005      1        -8    -0.001    0.000 
23.00   24.00   24.00   1.000E-02   8.000E+00   9.400E-03    1.020E-09     6.718E-02      8.981E-02     1.796E-01     6.460E-03      1      1    0.005      1        -8    -0.001    0.000 
24.00   25.00   25.00   1.000E-02   8.000E+00   8.712E-03    9.360E-10     6.668E-02      9.016E-02     1.803E-01     6.462E-03      1      1    0.005      1        -8    -0.001    0.000 
25.00   26.00   26.00   1.000E-02   8.000E+00   7.976E-03    8.622E-10     6.618E-02      9.049E-02     1.810E-01     6.464E-03      1      1    0.005      1        -8    -0.001    0.000 
26.00   27.00   27.00   1.000E-02   8.000E+00   7.197E-03    7.967E-10     6.566E-02      9.078E-02     1.816E-01     6.464E-03      1      1    0.005      1        -8    -0.001    0.000 
27.00   28.00   28.00   1.000E-02   8.000E+00   6.384E-03    7.383E-10     6.512E-02      9.104E-02     1.821E-01     6.463E-03      1      1    0.005      1        -8    -0.001    0.000 
28.00   29.00   29.00   1.000E-02   8.000E+00   5.552E-03    6.860E-10     6.457E-02      9.127E-02     1.825E-01     6.462E-03      1      1    0.005      1        -8    -0.001    0.000 
29.00   30.00   30.00   1.000E-02   8.000E+00   4.715E-03    6.391E-10     6.401E-02      9.147E-02     1.829E-01     6.459E-03      1      1    0.005      1        -8    -0.001    0.000 
30.00   31.00   31.00   1.000E-02   8.000E+00   3.892E-03    5.968E-10     6.343E-02      9.163E-02     1.833E-01     6.454E-03      1      1    0.005      1        -8    -0.001    0.000 
31.00   32.00   32.00   1.000E-02   8.000E+00   3.099E-03    5.585E-10     6.284E-02      9.174E-02     1.835E-01     6.449E-03      1      1    0.005      1        -8    -0.001    0.000 
32.00   33.00   33.00   1.000E-02   8.000E+00   2.353E-03    5.237E-10     6.223E-02      9.182E-02     1.836E-01     6.442E-03      1      1    0.005      1        -8    -0.001    0.000 
33.00   34.00   34.00   1.000E-02   8.000E+00   1.639E-03    4.921E-10     6.160E-02      9.185E-02     1.837E-01     6.434E-03      1      1    0.005      1        -8    -0.001    0.000 
34.00   35.00   35.00   1.000E-02   8.000E+00   1.024E-03    4.632E-10     6.095E-02      9.184E-02     1.837E-01     6.424E-03      1      1    0.005      1        -8    -0.001    0.000 
35.00   36.00   36.00   1.000E-02   8.000E+00   5.530E-04    4.368E-10     6.029E-02      9.178E-02     1.836E-01     6.413E-03      1      1    0.005      1        -8    -0.001    0.000 
36.00   37.00   37.00   1.000E-02   8.000E+00   2.648E-04    4.125E-10     5.960E-02      9.166E-02     1.833E-01     6.401E-03      1      1    0.005      1        -8    -0.001    0.000 
37.00   38.00   38.00   1.000E-02   8.000E+00   1.154E-04    3.902E-10     5.889E-02      9.149E-02     1.830E-01     6.387E-03      1      1    0.005      1        -8    -0.001    0.000 
38.00   39.00   39.00   1.000E-02   8.000E+00   5.383E-05    3.696E-10     5.816E-02      9.125E-02     1.825E-01     6.371E-03      1      1    0.005      1        -8    -0.001    0.000 
39.00   40.00   40.00   1.000E-02   8.000E+00   4.264E-05    3.507E-10     5.740E-02      9.095E-02     1.819E-01     6.354E-03      1      1    0.005      1        -8    -0.001    0.000 
