bin=/home/belyaev/calchep/work/bin
        Mh1 & Cross section          & prt_First-Last
  4.000E+02 &   1.379E-03 +- 4.8E-01 & 489-514
  4.020E+02 &   1.345E-03 +- 4.6E-01 & 515-540
  4.040E+02 &   1.313E-03 +- 4.7E-01 & 541-566
  4.060E+02 &   1.281E-03 +- 5.4E-01 & 567-592
  4.080E+02 &   1.249E-03 +- 4.8E-01 & 593-618
  4.100E+02 &   1.219E-03 +- 4.9E-01 & 619-644
  4.120E+02 &   1.189E-03 +- 5.0E-01 & 645-670
  4.140E+02 &   1.153E-03 +- 5.8E-01 & 671-696
  4.160E+02 &   1.125E-03 +- 4.1E-01 & 697-722
  4.180E+02 &   1.098E-03 +- 5.3E-01 & 723-748
  4.200E+02 &   1.071E-03 +- 4.3E-01 & 749-774
  4.220E+02 &   1.046E-03 +- 4.5E-01 & 775-800
  4.240E+02 &   1.021E-03 +- 5.4E-01 & 801-826
  4.260E+02 &   9.991E-04 +- 4.8E-01 & 827-852
  4.280E+02 &   9.752E-04 +- 4.8E-01 & 853-878
  4.300E+02 &   9.509E-04 +- 3.8E-01 & 879-904
  4.320E+02 &   9.289E-04 +- 5.3E-01 & 905-930
  4.340E+02 &   9.063E-04 +- 5.0E-01 & 931-956
  4.360E+02 &   8.853E-04 +- 5.0E-01 & 957-982
  4.380E+02 &   8.635E-04 +- 4.6E-01 & 983-1008
  4.400E+02 &   8.439E-04 +- 5.5E-01 & 1009-1034
  4.420E+02 &   8.234E-04 +- 4.6E-01 & 1035-1060
  4.440E+02 &   8.039E-04 +- 4.6E-01 & 1061-1086
  4.460E+02 &   7.855E-04 +- 4.9E-01 & 1087-1112
  4.480E+02 &   7.659E-04 +- 4.7E-01 & 1113-1138
  4.500E+02 &   7.494E-04 +- 4.3E-01 & 1139-1164
  4.520E+02 &   7.314E-04 +- 5.0E-01 & 1165-1190
  4.540E+02 &   7.143E-04 +- 4.6E-01 & 1191-1216
  4.560E+02 &   6.981E-04 +- 4.3E-01 & 1217-1242
  4.580E+02 &   6.815E-04 +- 4.2E-01 & 1243-1268
  4.600E+02 &   6.662E-04 +- 4.6E-01 & 1269-1294
  4.620E+02 &   6.507E-04 +- 3.9E-01 & 1295-1320
  4.640E+02 &   6.354E-04 +- 4.8E-01 & 1321-1346
  4.660E+02 &   6.209E-04 +- 4.4E-01 & 1347-1372
  4.680E+02 &   6.073E-04 +- 5.5E-01 & 1373-1398
  4.700E+02 &   5.929E-04 +- 4.3E-01 & 1399-1424
  4.720E+02 &   5.797E-04 +- 3.4E-01 & 1425-1450
  4.740E+02 &   5.665E-04 +- 5.4E-01 & 1451-1476
  4.760E+02 &   5.535E-04 +- 4.8E-01 & 1477-1502
  4.780E+02 &   5.409E-04 +- 4.4E-01 & 1503-1528
  4.800E+02 &   5.296E-04 +- 3.7E-01 & 1529-1554
  4.820E+02 &   5.175E-04 +- 4.6E-01 & 1555-1580
  4.840E+02 &   5.053E-04 +- 3.5E-01 & 1581-1606
  4.860E+02 &   4.940E-04 +- 4.1E-01 & 1607-1632
  4.880E+02 &   4.831E-04 +- 4.4E-01 & 1633-1658
  4.900E+02 &   4.727E-04 +- 4.5E-01 & 1659-1684
  4.920E+02 &   4.616E-04 +- 4.2E-01 & 1685-1710
  4.940E+02 &   4.517E-04 +- 4.7E-01 & 1711-1736
  4.960E+02 &   4.420E-04 +- 4.8E-01 & 1737-1762
  4.980E+02 &   4.324E-04 +- 4.4E-01 & 1763-1788
  5.000E+02 &   4.230E-04 +- 3.5E-01 & 1789-1814
  5.020E+02 &   4.127E-04 +- 5.2E-01 & 1815-1840
  5.040E+02 &   4.037E-04 +- 3.4E-01 & 1841-1866
  5.060E+02 &   3.952E-04 +- 4.1E-01 & 1867-1892
  5.080E+02 &   3.869E-04 +- 4.4E-01 & 1893-1918
  5.100E+02 &   3.785E-04 +- 3.7E-01 & 1919-1944
  5.120E+02 &   3.704E-04 +- 3.1E-01 & 1945-1970
  5.140E+02 &   3.619E-04 +- 4.5E-01 & 1971-1996
  5.160E+02 &   3.541E-04 +- 4.1E-01 & 1997-2022
  5.180E+02 &   3.468E-04 +- 3.3E-01 & 2023-2048
  5.200E+02 &   3.394E-04 +- 4.6E-01 & 2049-2074
  5.220E+02 &   3.321E-04 +- 4.2E-01 & 2075-2100
  5.240E+02 &   3.252E-04 +- 4.6E-01 & 2101-2126
  5.260E+02 &   3.173E-04 +- 4.2E-01 & 2127-2152
  5.280E+02 &   3.106E-04 +- 4.8E-01 & 2153-2178
  5.300E+02 &   3.041E-04 +- 4.1E-01 & 2179-2204
  5.320E+02 &   2.976E-04 +- 4.5E-01 & 2205-2230
  5.340E+02 &   2.917E-04 +- 4.0E-01 & 2231-2256
  5.360E+02 &   2.854E-04 +- 3.5E-01 & 2257-2282
  5.380E+02 &   2.795E-04 +- 4.3E-01 & 2283-2308
  5.400E+02 &   2.737E-04 +- 3.9E-01 & 2309-2334
  5.420E+02 &   2.675E-04 +- 4.0E-01 & 2335-2360
  5.440E+02 &   2.615E-04 +- 4.0E-01 & 2361-2386
  5.460E+02 &   2.564E-04 +- 3.5E-01 & 2387-2412
  5.480E+02 &   2.509E-04 +- 3.8E-01 & 2413-2438
  5.500E+02 &   2.454E-04 +- 3.9E-01 & 2439-2464
  5.520E+02 &   2.406E-04 +- 4.4E-01 & 2465-2490
  5.540E+02 &   2.358E-04 +- 3.8E-01 & 2491-2516
  5.560E+02 &   2.306E-04 +- 3.5E-01 & 2517-2542
  5.580E+02 &   2.261E-04 +- 4.0E-01 & 2543-2568
  5.600E+02 &   2.216E-04 +- 4.3E-01 & 2569-2594
  5.620E+02 &   2.168E-04 +- 4.1E-01 & 2595-2620
  5.640E+02 &   2.117E-04 +- 4.6E-01 & 2621-2646
  5.660E+02 &   2.075E-04 +- 2.9E-01 & 2647-2672
  5.680E+02 &   2.033E-04 +- 3.7E-01 & 2673-2698
  5.700E+02 &   1.990E-04 +- 4.1E-01 & 2699-2724
  5.720E+02 &   1.950E-04 +- 4.1E-01 & 2725-2750
  5.740E+02 &   1.910E-04 +- 4.3E-01 & 2751-2776
  5.760E+02 &   1.871E-04 +- 3.3E-01 & 2777-2802
