 Mh1     pp>h1h1H        pp>h1h1j        pp>h1h1Z        pp>h1h2j        pp>h1h2H 
 10      1.1651E+01      4.5440E+02      4.0800E+01      8.2014E+03      3.1010E+00 
 15      1.1641E+01      4.5348E+02      4.0639E+01      7.4783E+03      2.8300E+00 
 20      1.1608E+01      4.5187E+02      4.0501E+01      6.4430E+03      2.4821E+00 
 25      1.1590E+01      4.5005E+02      4.0298E+01      5.2013E+03      2.0359E+00 
 30      1.1553E+01      4.4873E+02      4.0107E+01      3.8159E+03      1.5601E+00 
 35      1.1523E+01      4.4634E+02      3.9896E+01      2.3987E+03      1.0607E+00 
 40      1.1494E+01      4.4463E+02      3.9624E+01      1.0894E+03      5.9834E-01 
 45      1.1451E+01      4.4351E+02      3.9361E+01      1.9836E+02      2.6829E-01 
 50      1.1429E+01      4.4058E+02      3.9153E+01      7.5851E+01      1.9316E-01 
 55      1.1398E+01      4.3931E+02      3.8941E+01      5.0360E+01      1.5847E-01 
 60      1.1418E+01      4.3929E+02      3.8823E+01      3.6876E+01      1.3310E-01 
 65      9.9409E-01      3.4518E+01      2.8837E+00      2.8291E+01      1.1317E-01 
 70      4.0362E-01      1.2726E+01      1.0236E+00      2.2400E+01      9.6876E-02 
 75      2.4342E-01      7.1469E+00      5.6356E-01      1.8097E+01      8.3415E-02 
 80      1.6636E-01      4.6235E+00      3.6072E-01      1.4861E+01      7.2133E-02 
 85      1.2176E-01      3.2173E+00      2.4987E-01      1.2371E+01      6.2539E-02 
 90      9.2900E-02      2.3396E+00      1.8259E-01      1.0397E+01      5.4423E-02 
 95      7.2733E-02      1.7625E+00      1.3858E-01      8.8241E+00      4.7610E-02 
 100      5.8375E-02      1.3610E+00      1.0815E-01      7.5394E+00      4.1638E-02 
 105      4.7494E-02      1.0717E+00      8.6114E-02      6.5003E+00      3.6599E-02 
 110      3.9122E-02      8.5621E-01      7.0011E-02      5.6229E+00      3.2208E-02 
 115      3.2648E-02      6.9297E-01      5.7706E-02      4.9021E+00      2.8471E-02 
 120      2.7432E-02      5.6807E-01      4.8118E-02      4.2852E+00      2.5131E-02 
 125      2.3289E-02      4.6894E-01      4.0717E-02      3.7694E+00      2.2286E-02 
 130      1.9865E-02      3.9113E-01      3.4705E-02      3.3283E+00      1.9797E-02 
 135      1.7095E-02      3.2832E-01      2.9812E-02      2.9496E+00      1.7585E-02 
 140      1.4725E-02      2.7759E-01      2.5834E-02      2.6239E+00      1.5679E-02 
 145      1.2786E-02      2.3584E-01      2.2510E-02      2.3393E+00      1.3997E-02 
 150      1.1145E-02      2.0128E-01      1.9729E-02      2.0899E+00      1.2513E-02 
 155      9.7487E-03      1.7304E-01      1.7356E-02      1.8754E+00      1.1207E-02 
 160      8.5656E-03      1.4931E-01      1.5377E-02      1.6859E+00      1.0052E-02 
 165      7.5359E-03      1.2917E-01      1.3657E-02      1.5187E+00      9.0293E-03 
 170      6.6553E-03      1.1239E-01      1.2194E-02      1.3719E+00      8.1225E-03 
 175      5.8988E-03      9.8093E-02      1.0918E-02      1.2430E+00      7.3110E-03 
 180      5.2283E-03      8.5870E-02      9.8115E-03      1.1269E+00      6.5906E-03 
 185      4.6669E-03      7.5450E-02      8.8254E-03      1.0243E+00      5.9617E-03 
 190      4.1603E-03      6.6569E-02      7.9806E-03      9.3201E-01      5.3813E-03 
 195      3.7235E-03      5.8610E-02      7.2287E-03      8.5045E-01      4.8741E-03 
 200      3.3383E-03      5.2025E-02      6.5576E-03      7.7599E-01      4.4097E-03 
 205      3.0010E-03      4.6038E-02      5.9680E-03      7.1038E-01      4.0066E-03 
 210      2.6971E-03      4.0996E-02      5.4363E-03      6.5080E-01      3.6412E-03 
 215      2.4348E-03      3.6566E-02      4.9667E-03      5.9688E-01      3.3041E-03 
 220      2.1947E-03      3.2613E-02      4.5471E-03      5.4895E-01      3.0082E-03 
 225      1.9843E-03      2.9194E-02      4.1578E-03      5.0463E-01      2.7396E-03 
 230      1.7987E-03      2.6178E-02      3.8170E-03      4.6448E-01      2.5007E-03 
 235      1.6320E-03      2.3519E-02      3.5108E-03      4.2806E-01      2.2787E-03 
 240      1.4814E-03      2.1152E-02      3.2259E-03      3.9494E-01      2.0866E-03 
 245      1.3459E-03      1.9052E-02      2.9750E-03      3.6471E-01      1.9051E-03 
 250      1.2258E-03      1.7206E-02      2.7414E-03      3.3727E-01      1.7423E-03 
 255      1.1169E-03      1.5562E-02      2.5328E-03      3.1232E-01      1.5963E-03 
 260      1.0192E-03      1.4095E-02      2.3422E-03      2.8941E-01      1.4630E-03 
 265      9.3054E-04      1.2760E-02      2.1672E-03      2.6829E-01      1.3405E-03 
 270      8.5192E-04      1.1585E-02      2.0052E-03      2.4911E-01      1.2301E-03 
 275      7.8031E-04      1.0522E-02      1.8610E-03      2.3124E-01      1.1300E-03 
 280      7.1532E-04      9.5841E-03      1.7266E-03      2.1490E-01      1.0402E-03 
 285      6.5552E-04      8.7325E-03      1.6012E-03      1.9995E-01      9.5501E-04 
 290      6.0283E-04      7.9704E-03      1.4901E-03      1.8622E-01      8.8017E-04 
 295      5.5404E-04      7.2578E-03      1.3851E-03      1.7363E-01      8.1067E-04 
 300      5.0921E-04      6.6559E-03      1.2909E-03      1.6185E-01      7.4667E-04 
