 Mh1    ld345       cs_(fb)   
 10    0.013408    1.3146E+02 
 11    0.013427    1.3130E+02 
 12    0.013447    1.3135E+02 
 13    0.013470    1.3125E+02 
 14    0.013494    1.3143E+02 
 15    0.013521    1.3151E+02 
 16    0.013549    1.3113E+02 
 17    0.013580    1.3130E+02 
 18    0.013613    1.3132E+02 
 19    0.013649    1.3124E+02 
 20    0.013686    1.3128E+02 
 21    0.013727    1.3144E+02 
 22    0.013770    1.3126E+02 
 23    0.013815    1.3133E+02 
 24    0.013864    1.3124E+02 
 25    0.013915    1.3121E+02 
 26    0.013970    1.3120E+02 
 27    0.014028    1.3136E+02 
 28    0.014089    1.3143E+02 
 29    0.014154    1.3127E+02 
 30    0.014223    1.3150E+02 
 31    0.014296    1.3126E+02 
 32    0.014374    1.3167E+02 
 33    0.014456    1.3121E+02 
 34    0.014543    1.3114E+02 
 35    0.014636    1.3140E+02 
 36    0.014734    1.3150E+02 
 37    0.014839    1.3135E+02 
 38    0.014951    1.3117E+02 
 39    0.015070    1.3120E+02 
 40    0.015198    1.3149E+02 
 41    0.015334    1.3141E+02 
 42    0.015480    1.3132E+02 
 43    0.015638    1.3150E+02 
 44    0.015808    1.3133E+02 
 45    0.015992    1.3130E+02 
 46    0.016191    1.3132E+02 
 47    0.016408    1.3146E+02 
 48    0.016646    1.3148E+02 
 49    0.016908    1.3118E+02 
 50    0.017198    1.3135E+02 
 51    0.017522    1.3162E+02 
 52    0.017886    1.3139E+02 
 53    0.018299    1.3121E+02 
 54    0.018774    1.3142E+02 
 55    0.019330    1.3141E+02 
 56    0.019991    1.3149E+02 
 57    0.020800    1.3162E+02 
 58    0.021825    1.3139E+02 
 59    0.023192    1.3114E+02 
 60    0.025176    1.3134E+02 
 61    0.028547    1.3139E+02 
 62    0.037494    1.3137E+02 
 63    1.630278    2.8362E+02 
 64    1.634614    1.3577E+02 
 65    1.639018    9.2744E+01 
 66    1.643490    7.0334E+01 
 67    1.648030    5.6765E+01 
 68    1.652639    4.7328E+01 
 69    1.657316    4.0391E+01 
 70    1.662061    3.5141E+01 
 71    1.666875    3.0927E+01 
 72    1.671757    2.7522E+01 
 73    1.676707    2.4753E+01 
 74    1.681725    2.2339E+01 
 75    1.686812    2.0322E+01 
 76    1.691967    1.8612E+01 
 77    1.697190    1.7075E+01 
 78    1.702482    1.5776E+01 
 79    1.707841    1.4602E+01 
 80    1.713269    1.3563E+01 
 81    1.718766    1.2626E+01 
 82    1.724330    1.1789E+01 
 83    1.729963    1.1059E+01 
 84    1.735664    1.0365E+01 
 85    1.741434    9.7439E+00 
 86    1.747272    9.1895E+00 
 87    1.753178    8.6587E+00 
 88    1.759152    8.1737E+00 
 89    1.765194    7.7457E+00 
 90    1.771305    7.3462E+00 
 91    1.777484    6.9702E+00 
 92    1.783732    6.6344E+00 
 93    1.790047    6.3017E+00 
 94    1.796431    6.0102E+00 
 95    1.802884    5.7431E+00 
 96    1.809404    5.4685E+00 
 97    1.815993    5.2352E+00 
 98    1.822650    5.0070E+00 
 99    1.829375    4.7862E+00 
 100    1.836169    4.5986E+00 
 101    1.843031    4.3957E+00 
 102    1.849961    4.2278E+00 
 103    1.856959    4.0552E+00 
 104    1.864026    3.8964E+00 
 105    1.871161    3.7468E+00 
 106    1.878364    3.6082E+00 
 107    1.885636    3.4740E+00 
 108    1.892976    3.3504E+00 
 109    1.900384    3.2353E+00 
 110    1.907860    3.1162E+00 
 111    1.915405    3.0071E+00 
 112    1.923018    2.9019E+00 
