    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp    cross_sec_limit   
    10   0.013408      1.315E+02          SR6        20000      47.390       0.19156        0.018        20       2.52E+00      2.18E+02      3.18E+02      627.97   
    29   0.014154      1.312E+02          SR6        20000      46.069       0.18593        0.017        20       2.48E+00      2.18E+02      3.18E+02      644.09   
    48   0.016646      1.314E+02          SR6        20000      46.547       0.18796        0.017        20       2.49E+00      2.18E+02      3.18E+02      638.64   
    67   1.648030      5.674E+01          SR6        20000      24.362       0.09945        0.021        20       1.18E+00      2.18E+02      3.18E+02      520.86   
    86   1.747272      9.170E+00          SR6        20000      5.333       0.02210        0.029        20       2.23E-01      2.18E+02      3.18E+02      381.22   
    105   1.871161      3.751E+00          SR6        20000      2.574       0.01074        0.034        20       9.90E-02      2.18E+02      3.18E+02      322.77   
    124   2.019698      1.987E+00          SR6        20000      1.680       0.00707        0.042        20       5.80E-02      2.18E+02      3.18E+02      261.84   
    143   2.192884      1.209E+00          SR7        20000      0.530       0.00363        0.022        20       2.60E-02      1.30E+02      1.33E+02      301.04   
    162   2.390718      8.052E-01          SR7        20000      0.466       0.00323        0.029        20       2.00E-02      1.30E+02      1.33E+02      228.14   
    181   2.613200      5.708E-01          SR7        20000      0.333       0.00231        0.029        20       1.40E-02      1.30E+02      1.33E+02      226.13   
    200   2.860330      4.251E-01          SR7        20000      0.278       0.00194        0.032        20       1.10E-02      1.30E+02      1.33E+02      201.90   
