    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp    cross_sec_limit   
    10   0.013408      1.310E+02          450        20000      25.040       0.13200        0.010        20       1.80E+00      1.63E+02      2.58E+02      871.44   
    29   0.014154      1.313E+02          400        20000      41.512       0.09781        0.016        20       2.32E+00      3.78E+02      4.34E+02      1209.87   
    48   0.016646      1.314E+02          450        20000      23.175       0.12135        0.009        20       1.73E+00      1.63E+02      2.58E+02      943.74   
    67   1.648030      5.686E+01          450        20000      13.385       0.07170        0.012        20       8.66E-01      1.63E+02      2.58E+02      699.60   
    86   1.747272      9.175E+00          400        20000      3.724       0.00890        0.021        20       1.83E-01      3.78E+02      4.34E+02      932.33   
    105   1.871161      3.749E+00          500        20000      0.824       0.00592        0.011        20       5.50E-02      1.21E+02      1.69E+02      551.35   
    124   2.019698      1.987E+00          500        20000      0.448       0.00322        0.011        20       3.00E-02      1.21E+02      1.69E+02      536.69   
    143   2.192884      1.209E+00          500        20000      0.363       0.00266        0.015        20       2.10E-02      1.21E+02      1.69E+02      402.90   
    162   2.390718      8.047E-01          500        20000      0.273       0.00201        0.017        20       1.50E-02      1.21E+02      1.69E+02      357.19   
    181   2.613200      5.713E-01          500        20000      0.237       0.00176        0.021        20       1.20E-02      1.21E+02      1.69E+02      291.84   
    200   2.860330      4.253E-01          500        20000      0.182       0.00136        0.022        20       9.00E-03      1.21E+02      1.69E+02      283.09   
