    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_exp    cross_sec_limit   
    10   0.013408      1.314E+02          M3        20000      26.799       0.11947        0.010        20       1.89E+00     1.90E+02      963.70   
    25   0.013915      1.312E+02          M2        20000      79.229       0.12151        0.030        20       3.25E+00     5.90E+02      1002.30   
    40   0.015198      1.314E+02          M3        20000      28.283       0.12662        0.011        20       1.94E+00     1.90E+02      914.19   
    55   0.019330      1.314E+02          M3        20000      28.666       0.12848        0.011        20       1.96E+00     1.90E+02      901.54   
    70   1.662061      3.515E+01          M3        20000      8.847       0.04008        0.012        20       5.62E-01     1.90E+02      770.57   
    85   1.741434      9.722E+00          M3        20000      3.168       0.01460        0.016        20       1.77E-01     1.90E+02      592.98  
    90   1.771305      7.345E+00          M3        20000      2.415       0.01114        0.016        20       1.34E-01     1.90E+02      587.23    
    100   1.836169      4.591E+00          M3        20000      1.659       0.00769        0.018        20       8.80E-02     1.90E+02      534.19   
    115   1.946266      2.624E+00          M3        20000      1.058       0.00494        0.020        20       5.30E-02     1.90E+02      478.85   
    130   2.071726      1.677E+00          M3        20000      0.793       0.00373        0.023        20       3.70E-02     1.90E+02      407.88   
    140   2.163900      1.299E+00          M3        20000      0.624       0.00293        0.024        20       2.90E-02     1.90E+02      401.81
    145   2.212548      1.154E+00          M3        20000      0.562       0.00265        0.024        20       2.60E-02     1.90E+02      395.94   
    160   2.368733      8.372E-01          M3        20000      0.473       0.00225        0.028        20       2.00E-02     1.90E+02      341.18   
    175   2.540279      6.331E-01          M3        20000      0.373       0.00178        0.029        20       1.50E-02     1.90E+02      327.64   
    190   2.727189      4.937E-01          M3        20000      0.340       0.00163        0.034        20       1.30E-02     1.90E+02      279.86 
    200   2.860330      4.241E-01          M3        20000      0.314       0.00150        0.036        20       1.20E-02     1.90E+02      260.66     
