    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_exp    cross_sec_limit   
    10   0.013408      1.311E+02          2        20000      110.329       0.06253        0.084        10       2.69E+00     1.68E+03      2002.70   
    15   0.013521      1.315E+02          2        20000      105.841       0.05992        0.080        10       2.64E+00     1.68E+03      2093.38   
    20   0.013686      1.313E+02          2        20000      112.516       0.06380        0.086        10       2.72E+00     1.68E+03      1966.54   
    25   0.013915      1.311E+02          2        20000      106.166       0.06012        0.081        10       2.64E+00     1.68E+03      2081.74   
    30   0.014223      1.315E+02          2        20000      112.927       0.06404        0.086        10       2.72E+00     1.68E+03      1963.12   
    35   0.014636      1.311E+02          2        20000      104.248       0.05900        0.079        10       2.61E+00     1.68E+03      2119.65   
    40   0.015198      1.314E+02          2        20000      115.435       0.06550        0.088        10       2.75E+00     1.68E+03      1918.49   
    45   0.015992      1.316E+02          2        20000      111.160       0.06301        0.084        10       2.70E+00     1.68E+03      1994.44   
    50   0.017198      1.313E+02          2        20000      111.505       0.06322        0.085        10       2.70E+00     1.68E+03      1983.88   
    55   0.019330      1.314E+02          2        20000      109.825       0.06224        0.084        10       2.69E+00     1.68E+03      2015.87   
    60   0.025176      1.314E+02          2        20000      109.884       0.06227        0.084        10       2.69E+00     1.68E+03      2015.87   
    65   1.639018      9.254E+01          2        20000      80.002       0.04538        0.086        10       1.92E+00     1.68E+03      1947.68   
    70   1.662061      3.507E+01          2        20000      31.683       0.01799        0.090        10       7.45E-01     1.68E+03      1861.05   
    75   1.686812      2.033E+01          2        20000      19.191       0.01091        0.094        10       4.42E-01     1.68E+03      1780.58   
    80   1.713269      1.354E+01          2        20000      13.103       0.00745        0.097        10       2.98E-01     1.68E+03      1736.14   
    85   1.741434      9.733E+00          2        20000      10.127       0.00577        0.104        10       2.22E-01     1.68E+03      1615.03   
    90   1.771305      7.346E+00          2        20000      7.556       0.00430        0.103        10       1.67E-01     1.68E+03      1633.77   
    95   1.802884      5.727E+00          2        20000      6.105       0.00348        0.107        10       1.32E-01     1.68E+03      1576.23   
    100   1.836169      4.591E+00          2        20000      4.798       0.00273        0.105        10       1.05E-01     1.68E+03      1607.85   
    105   1.871161      3.751E+00          2        20000      4.277       0.00244        0.114        10       9.00E-02     1.68E+03      1473.84   
    110   1.907860      3.117E+00          2        20000      3.482       0.00199        0.112        10       7.40E-02     1.68E+03      1504.16   
    115   1.946266      2.625E+00          2        20000      2.914       0.00166        0.111        10       6.20E-02     1.68E+03      1513.62   
    120   1.986379      2.239E+00          2        20000      2.667       0.00152        0.119        10       5.50E-02     1.68E+03      1410.08   
    125   2.028199      1.933E+00          2        20000      2.314       0.00132        0.120        10       4.70E-02     1.68E+03      1403.00   
    130   2.071726      1.676E+00          2        20000      2.041       0.00117        0.122        10       4.10E-02     1.68E+03      1379.38   
    135   2.116960      1.471E+00          2        20000      1.828       0.00104        0.124        10       3.70E-02     1.68E+03      1352.17   
    140   2.163900      1.300E+00          2        20000      1.605       0.00092        0.123        10       3.20E-02     1.68E+03      1360.93   
    145   2.212548      1.155E+00          2        20000      1.430       0.00082        0.124        10       2.90E-02     1.68E+03      1357.07   
    150   2.262902      1.032E+00          2        20000      1.374       0.00079        0.133        10       2.70E-02     1.68E+03      1261.77   
    155   2.314964      9.266E-01          2        20000      1.204       0.00069        0.130        10       2.40E-02     1.68E+03      1293.34   
    160   2.368733      8.364E-01          2        20000      1.140       0.00065        0.136        10       2.20E-02     1.68E+03      1232.61 
    165   2.424208      7.590E-01          3        20000      0.328       0.00058        0.043        10       1.10E-02     5.25E+02      1216.74   
    170   2.481390      6.924E-01          3        20000      0.312       0.00056        0.045        10       1.00E-02     5.25E+02      1164.12   
    175   2.540279      6.335E-01          2        20000      0.871       0.00050        0.138        10       1.70E-02     1.68E+03      1221.40   
    180   2.600876      5.804E-01          3        20000      0.263       0.00047        0.045        10       9.00E-03     5.25E+02      1160.26   
    185   2.663179      5.348E-01          3        20000      0.255       0.00046        0.048        10       8.00E-03     5.25E+02      1100.66   
    190   2.727189      4.942E-01          3        20000      0.255       0.00045        0.052        10       8.00E-03     5.25E+02      1019.45   
    195   2.792906      4.571E-01          3        20000      0.235       0.00042        0.051        10       7.00E-03     5.25E+02      1023.42   
    200   2.860330      4.245E-01          3        20000      0.224       0.00040        0.053        10       7.00E-03     5.25E+02      993.40  
