 Mh1    ld345       cs_(fb)   
 10    -1.00E-02    8.3384E+01 
 11    -1.00E-02    8.3194E+01 
 12    -1.00E-02    8.3095E+01 
 13    -1.00E-02    8.2755E+01 
 14    -1.00E-02    8.2470E+01 
 15    -1.00E-02    8.2253E+01 
 16    -1.00E-02    8.2025E+01 
 17    -1.00E-02    8.1789E+01 
 18    -1.00E-02    8.1507E+01 
 19    -1.00E-02    8.0957E+01 
 20    -1.00E-02    8.0722E+01 
 21    -1.00E-02    8.0239E+01 
 22    -1.00E-02    7.9846E+01 
 23    -1.00E-02    7.9367E+01 
 24    -1.00E-02    7.8906E+01 
 25    -1.00E-02    7.8460E+01 
 26    -1.00E-02    7.7938E+01 
 27    -1.00E-02    7.7537E+01 
 28    -1.00E-02    7.6884E+01 
 29    -1.00E-02    7.6457E+01 
 30    -1.00E-02    7.5732E+01 
 31    -1.00E-02    7.5061E+01 
 32    -1.00E-02    7.4341E+01 
 33    -1.00E-02    7.3792E+01 
 34    -1.00E-02    7.2959E+01 
 35    -1.00E-02    7.2169E+01 
 36    -1.00E-02    7.1154E+01 
 37    -1.00E-02    7.0383E+01 
 38    -1.00E-02    6.9420E+01 
 39    -1.00E-02    6.8596E+01 
 40    -1.00E-02    6.7539E+01 
 41    -1.00E-02    6.6533E+01 
 42    -1.00E-02    6.5474E+01 
 43    -1.00E-02    6.4508E+01 
 44    -1.00E-02    6.3285E+01 
 45    -1.00E-02    6.1954E+01 
 46    -1.00E-02    6.0622E+01 
 47    -1.00E-02    5.9248E+01 
 48    -1.00E-02    5.7766E+01 
 49    -1.00E-02    5.6231E+01 
 50    -1.00E-02    5.4486E+01 
 51    -1.00E-02    5.2802E+01 
 52    -1.00E-02    5.0843E+01 
 53    -1.00E-02    4.8765E+01 
 54    -1.00E-02    4.6691E+01 
 55    -1.00E-02    4.4222E+01 
 56    -1.00E-02    4.1640E+01 
 57    -1.00E-02    3.8705E+01 
 58    -1.00E-02    3.5514E+01 
 59    -1.00E-02    3.1604E+01 
 60    -1.00E-02    2.7146E+01 
 61    -1.00E-02    2.1392E+01 
 62    -1.00E-02    1.2652E+01 
 63    -1.00E-02    1.0648E-02 
 64    -1.00E-02    5.0726E-03 
 65    -1.00E-02    3.4465E-03 
 66    -1.00E-02    2.6086E-03 
 67    -1.00E-02    2.0871E-03 
 68    -1.00E-02    1.7320E-03 
 69    -1.00E-02    1.4737E-03 
 70    -1.00E-02    1.2725E-03 
 71    -1.00E-02    1.1146E-03 
 72    -1.00E-02    9.8449E-04 
 73    -1.00E-02    8.7952E-04 
 74    -1.00E-02    7.8977E-04 
 75    -1.00E-02    7.1514E-04 
 76    -1.00E-02    6.4908E-04 
 77    -1.00E-02    5.9341E-04 
 78    -1.00E-02    5.4297E-04 
 79    -1.00E-02    5.0005E-04 
 80    -1.00E-02    4.6186E-04 
 81    -1.00E-02    4.2713E-04 
 82    -1.00E-02    3.9735E-04 
 83    -1.00E-02    3.6906E-04 
 84    -1.00E-02    3.4325E-04 
 85    -1.00E-02    3.2171E-04 
 86    -1.00E-02    3.0044E-04 
 87    -1.00E-02    2.8183E-04 
 88    -1.00E-02    2.6435E-04 
 89    -1.00E-02    2.4847E-04 
 90    -1.00E-02    2.3431E-04 
 91    -1.00E-02    2.2059E-04 
 92    -1.00E-02    2.0867E-04 
 93    -1.00E-02    1.9718E-04 
 94    -1.00E-02    1.8628E-04 
 95    -1.00E-02    1.7632E-04 
 96    -1.00E-02    1.6710E-04 
 97    -1.00E-02    1.5831E-04 
 98    -1.00E-02    1.5065E-04 
