 Mh1    ld345       cs_(fb)   
 10      0.1      4.4835E+02 
 11      0.1      4.4798E+02 
 12      0.1      4.4791E+02 
 13      0.1      4.4800E+02 
 14      0.1      4.4725E+02 
 15      0.1      4.4776E+02 
 16      0.1      4.4804E+02 
 17      0.1      4.4708E+02 
 18      0.1      4.4757E+02 
 19      0.1      4.4849E+02 
 20      0.1      4.4844E+02 
 21      0.1      4.4690E+02 
 22      0.1      4.4735E+02 
 23      0.1      4.4612E+02 
 24      0.1      4.4731E+02 
 25      0.1      4.4636E+02 
 26      0.1      4.4583E+02 
 27      0.1      4.4618E+02 
 28      0.1      4.4606E+02 
 29      0.1      4.4573E+02 
 30      0.1      4.4632E+02 
 31      0.1      4.4593E+02 
 32      0.1      4.4564E+02 
 33      0.1      4.4389E+02 
 34      0.1      4.4432E+02 
 35      0.1      4.4434E+02 
 36      0.1      4.4311E+02 
 37      0.1      4.4323E+02 
 38      0.1      4.4254E+02 
 39      0.1      4.4290E+02 
 40      0.1      4.4192E+02 
 41      0.1      4.4188E+02 
 42      0.1      4.4198E+02 
 43      0.1      4.4072E+02 
 44      0.1      4.3978E+02 
 45      0.1      4.3924E+02 
 46      0.1      4.3872E+02 
 47      0.1      4.3770E+02 
 48      0.1      4.3709E+02 
 49      0.1      4.3642E+02 
 50      0.1      4.3526E+02 
 51      0.1      4.3453E+02 
 52      0.1      4.3246E+02 
 53      0.1      4.3107E+02 
 54      0.1      4.2897E+02 
 55      0.1      4.2744E+02 
 56      0.1      4.2536E+02 
 57      0.1      4.2101E+02 
 58      0.1      4.1773E+02 
 59      0.1      4.1153E+02 
 60      0.1      4.0302E+02 
 61      0.1      3.8795E+02 
 62      0.1      3.4357E+02 
 63      0.1      1.0644E+00 
 64      0.1      5.0887E-01 
 65      0.1      3.4458E-01 
 66      0.1      2.6097E-01 
 67      0.1      2.0932E-01 
 68      0.1      1.7316E-01 
 69      0.1      1.4708E-01 
 70      0.1      1.2729E-01 
 71      0.1      1.1132E-01 
 72      0.1      9.8462E-02 
 73      0.1      8.7993E-02 
 74      0.1      7.8981E-02 
 75      0.1      7.1415E-02 
 76      0.1      6.4875E-02 
 77      0.1      5.9275E-02 
 78      0.1      5.4375E-02 
 79      0.1      5.0014E-02 
 80      0.1      4.6150E-02 
 81      0.1      4.2740E-02 
 82      0.1      3.9657E-02 
 83      0.1      3.6854E-02 
 84      0.1      3.4378E-02 
 85      0.1      3.2119E-02 
 86      0.1      3.0031E-02 
 87      0.1      2.8184E-02 
 88      0.1      2.6460E-02 
 89      0.1      2.4819E-02 
 90      0.1      2.3436E-02 
 91      0.1      2.2065E-02 
 92      0.1      2.0858E-02 
 93      0.1      1.9714E-02 
 94      0.1      1.8603E-02 
 95      0.1      1.7652E-02 
 96      0.1      1.6716E-02 
 97      0.1      1.5861E-02 
 98      0.1      1.5055E-02 
 99      0.1      1.4312E-02 
 100      0.1      1.3583E-02 
 101      0.1      1.2967E-02 
 102      0.1      1.2360E-02 
 103      0.1      1.1777E-02 
 104      0.1      1.1239E-02 
 105      0.1      1.0733E-02 
 106      0.1      1.0237E-02 
 107      0.1      9.7916E-03 
 108      0.1      9.3550E-03 
 109      0.1      8.9530E-03 
 110      0.1      8.5611E-03 
 111      0.1      8.2018E-03 
 112      0.1      7.8598E-03 
 113      0.1      7.5389E-03 
 114      0.1      7.2244E-03 
 115      0.1      6.9314E-03 
 116      0.1      6.6575E-03 
 117      0.1      6.3898E-03 
 118      0.1      6.1435E-03 
 119      0.1      5.9024E-03 
 120      0.1      5.6785E-03 
 121      0.1      5.4650E-03 
 122      0.1      5.2467E-03 
 123      0.1      5.0556E-03 
 124      0.1      4.8635E-03 
 125      0.1      4.6919E-03 
 126      0.1      4.5219E-03 
 127      0.1      4.3612E-03 
 128      0.1      4.2073E-03 
 129      0.1      4.0553E-03 
 130      0.1      3.9109E-03 
 131      0.1      3.7755E-03 
 132      0.1      3.6432E-03 
 133      0.1      3.5140E-03 
 134      0.1      3.3961E-03 
 135      0.1      3.2821E-03 
 136      0.1      3.1714E-03 
 137      0.1      3.0642E-03 
 138      0.1      2.9618E-03 
 139      0.1      2.8686E-03 
 140      0.1      2.7740E-03 
 141      0.1      2.6854E-03 
 142      0.1      2.5965E-03 
 143      0.1      2.5153E-03 
 144      0.1      2.4337E-03 
 145      0.1      2.3580E-03 
 146      0.1      2.2848E-03 
 147      0.1      2.2098E-03 
 148      0.1      2.1420E-03 
 149      0.1      2.0807E-03 
 150      0.1      2.0140E-03 
 151      0.1      1.9540E-03 
 152      0.1      1.8965E-03 
 153      0.1      1.8396E-03 
 154      0.1      1.7804E-03 
 155      0.1      1.7285E-03 
 156      0.1      1.6814E-03 
 157      0.1      1.6302E-03 
 158      0.1      1.5840E-03 
