 Mh1    ld345       cs_(fb)   
 10.0    0.013408    1.7036E+02 
 11.0    0.013427    1.7012E+02 
 12.0    0.013447    1.7013E+02 
 13.0    0.013470    1.7018E+02 
 14.0    0.013494    1.7019E+02 
 15.0    0.013521    1.7046E+02 
 16.0    0.013549    1.7052E+02 
 17.0    0.013580    1.7046E+02 
 18.0    0.013613    1.7029E+02 
 19.0    0.013649    1.7009E+02 
 20.0    0.013686    1.7023E+02 
 21.0    0.013727    1.7031E+02 
 22.0    0.013770    1.6994E+02 
 23.0    0.013815    1.7003E+02 
 24.0    0.013864    1.7028E+02 
 25.0    0.013915    1.7024E+02 
 26.0    0.013970    1.7077E+02 
 27.0    0.014028    1.7031E+02 
 28.0    0.014089    1.7035E+02 
 29.0    0.014154    1.7046E+02 
 30.0    0.014223    1.7033E+02 
 31.0    0.014296    1.7046E+02 
 32.0    0.014374    1.7050E+02 
 33.0    0.014456    1.7036E+02 
 34.0    0.014543    1.7030E+02 
 35.0    0.014636    1.7018E+02 
 36.0    0.014734    1.7006E+02 
 37.0    0.014839    1.7017E+02 
 38.0    0.014951    1.7024E+02 
 39.0    0.015070    1.7026E+02 
 40.0    0.015198    1.7037E+02 
 41.0    0.015334    1.7041E+02 
 42.0    0.015480    1.7009E+02 
 43.0    0.015638    1.7052E+02 
 44.0    0.015808    1.7056E+02 
 45.0    0.015992    1.7046E+02 
 46.0    0.016191    1.7043E+02 
 47.0    0.016408    1.7011E+02 
 48.0    0.016646    1.7048E+02 
 49.0    0.016908    1.7037E+02 
 50.0    0.017198    1.7035E+02 
 51.0    0.017522    1.7042E+02 
 52.0    0.017886    1.7044E+02 
 53.0    0.018299    1.7017E+02 
 54.0    0.018774    1.7043E+02 
 55.0    0.019330    1.7109E+02 
 56.0    0.019991    1.7048E+02 
 57.0    0.020800    1.7035E+02 
 58.0    0.021825    1.7038E+02 
 59.0    0.023192    1.7038E+02 
 60.0    0.025176    1.7047E+02 
 61.0    0.028547    1.7056E+02 
 62.0    0.037494    1.7032E+02 
 63.0    1.585000    3.0399E+02 
 64.0    1.601000    1.4953E+02 
 65.0    1.615000    1.0396E+02 
 66.0    1.604000    7.8246E+01 
 67.0    1.625000    6.4718E+01 
 68.0    1.602000    5.2499E+01 
 69.0    1.628000    4.6196E+01 
 70.0    1.627000    4.0080E+01 
 71.0    1.632000    3.5448E+01 
 72.0    1.643000    3.1979E+01 
 73.0    1.631000    2.8229E+01 
 74.0    1.654000    2.6214E+01 
 75.0    1.648000    2.3620E+01 
 76.0    1.649000    2.1593E+01 
 77.0    1.660000    2.0042E+01 
 78.0    1.670000    1.8658E+01 
 79.0    1.659000    1.7015E+01 
 80.0    1.657000    1.5778E+01 
 81.0    1.690000    1.5207E+01 
 82.0    1.689000    1.4171E+01 
 83.0    1.701000    1.3410E+01 
 84.0    1.689000    1.2353E+01 
 85.0    1.707000    1.1816E+01 
 86.0    1.710000    1.1142E+01 
 87.0    1.710000    1.0478E+01 
