 Mh1    ld345       cs_(fb)   
 10    -1.00E-02    2.7436E+02 
 11    -1.00E-02    2.7333E+02 
 12    -1.00E-02    2.7251E+02 
 13    -1.00E-02    2.7210E+02 
 14    -1.00E-02    2.7093E+02 
 15    -1.00E-02    2.7073E+02 
 16    -1.00E-02    2.6940E+02 
 17    -1.00E-02    2.6834E+02 
 18    -1.00E-02    2.6758E+02 
 19    -1.00E-02    2.6592E+02 
 20    -1.00E-02    2.6522E+02 
 21    -1.00E-02    2.6350E+02 
 22    -1.00E-02    2.6230E+02 
 23    -1.00E-02    2.6103E+02 
 24    -1.00E-02    2.5964E+02 
 25    -1.00E-02    2.5767E+02 
 26    -1.00E-02    2.5586E+02 
 27    -1.00E-02    2.5448E+02 
 28    -1.00E-02    2.5228E+02 
 29    -1.00E-02    2.5041E+02 
 30    -1.00E-02    2.4890E+02 
 31    -1.00E-02    2.4624E+02 
 32    -1.00E-02    2.4438E+02 
 33    -1.00E-02    2.4201E+02 
 34    -1.00E-02    2.3944E+02 
 35    -1.00E-02    2.3630E+02 
 36    -1.00E-02    2.3360E+02 
 37    -1.00E-02    2.3161E+02 
 38    -1.00E-02    2.2872E+02 
 39    -1.00E-02    2.2514E+02 
 40    -1.00E-02    2.2209E+02 
 41    -1.00E-02    2.1860E+02 
 42    -1.00E-02    2.1555E+02 
 43    -1.00E-02    2.1165E+02 
 44    -1.00E-02    2.0785E+02 
 45    -1.00E-02    2.0341E+02 
 46    -1.00E-02    1.9930E+02 
 47    -1.00E-02    1.9436E+02 
 48    -1.00E-02    1.8984E+02 
 49    -1.00E-02    1.8456E+02 
 50    -1.00E-02    1.7912E+02 
 51    -1.00E-02    1.7341E+02 
 52    -1.00E-02    1.6703E+02 
 53    -1.00E-02    1.6017E+02 
 54    -1.00E-02    1.5298E+02 
 55    -1.00E-02    1.4534E+02 
 56    -1.00E-02    1.3697E+02 
 57    -1.00E-02    1.2730E+02 
 58    -1.00E-02    1.1635E+02 
 59    -1.00E-02    1.0424E+02 
 60    -1.00E-02    8.9170E+01 
 61    -1.00E-02    7.0160E+01 
 62    -1.00E-02    4.1471E+01 
 63    -1.00E-02    3.5594E-02 
 64    -1.00E-02    1.7081E-02 
 65    -1.00E-02    1.1697E-02 
 66    -1.00E-02    8.9229E-03 
 67    -1.00E-02    7.1828E-03 
 68    -1.00E-02    5.9770E-03 
 69    -1.00E-02    5.1059E-03 
 70    -1.00E-02    4.4350E-03 
 71    -1.00E-02    3.9004E-03 
 72    -1.00E-02    3.4654E-03 
 73    -1.00E-02    3.1074E-03 
 74    -1.00E-02    2.8028E-03 
 75    -1.00E-02    2.5430E-03 
 76    -1.00E-02    2.3284E-03 
 77    -1.00E-02    2.1295E-03 
 78    -1.00E-02    1.9609E-03 
 79    -1.00E-02    1.8113E-03 
 80    -1.00E-02    1.6764E-03 
 81    -1.00E-02    1.5560E-03 
 82    -1.00E-02    1.4510E-03 
 83    -1.00E-02    1.3558E-03 
 84    -1.00E-02    1.2699E-03 
 85    -1.00E-02    1.1880E-03 
 86    -1.00E-02    1.1171E-03 
 87    -1.00E-02    1.0501E-03 
 88    -1.00E-02    9.8806E-04 
 89    -1.00E-02    9.3293E-04 
 90    -1.00E-02    8.8285E-04 
 91    -1.00E-02    8.3401E-04 
 92    -1.00E-02    7.9018E-04 
 93    -1.00E-02    7.4773E-04 
 94    -1.00E-02    7.0989E-04 
 95    -1.00E-02    6.7456E-04 
 96    -1.00E-02    6.4161E-04 
 97    -1.00E-02    6.1133E-04 
 98    -1.00E-02    5.8273E-04 
 99    -1.00E-02    5.5417E-04 
 100    -1.00E-02    5.2848E-04 
 101    -1.00E-02    5.0447E-04 
 102    -1.00E-02    4.8331E-04 
 103    -1.00E-02    4.6195E-04 
 104    -1.00E-02    4.4143E-04 
 105    -1.00E-02    4.2297E-04 
 106    -1.00E-02    4.0445E-04 
 107    -1.00E-02    3.8771E-04 
 108    -1.00E-02    3.7202E-04 
 109    -1.00E-02    3.5654E-04 
 110    -1.00E-02    3.4266E-04 
 111    -1.00E-02    3.2900E-04 
 112    -1.00E-02    3.1640E-04 
 113    -1.00E-02    3.0423E-04 
 114    -1.00E-02    2.9280E-04 
 115    -1.00E-02    2.8117E-04 
 116    -1.00E-02    2.7144E-04 
 117    -1.00E-02    2.6117E-04 
 118    -1.00E-02    2.5171E-04 
 119    -1.00E-02    2.4256E-04 
 120    -1.00E-02    2.3404E-04 
 121    -1.00E-02    2.2562E-04 
 122    -1.00E-02    2.1780E-04 
 123    -1.00E-02    2.0987E-04 
 124    -1.00E-02    2.0269E-04 
 125    -1.00E-02    1.9625E-04 
 126    -1.00E-02    1.8957E-04 
 127    -1.00E-02    1.8286E-04 
 128    -1.00E-02    1.7711E-04 
 129    -1.00E-02    1.7123E-04 
 130    -1.00E-02    1.6569E-04 
 131    -1.00E-02    1.6044E-04 
 132    -1.00E-02    1.5505E-04 
 133    -1.00E-02    1.5000E-04 
 134    -1.00E-02    1.4538E-04 
 135    -1.00E-02    1.4113E-04 
 136    -1.00E-02    1.3635E-04 
 137    -1.00E-02    1.3236E-04 
 138    -1.00E-02    1.2824E-04 
 139    -1.00E-02    1.2454E-04 
 140    -1.00E-02    1.2046E-04 
 141    -1.00E-02    1.1715E-04 
 142    -1.00E-02    1.1369E-04 
 143    -1.00E-02    1.1037E-04 
 144    -1.00E-02    1.0713E-04 
 145    -1.00E-02    1.0396E-04 
 146    -1.00E-02    1.0098E-04 
 147    -1.00E-02    9.8010E-05 
 148    -1.00E-02    9.5408E-05 
 149    -1.00E-02    9.2510E-05 
 150    -1.00E-02    8.9966E-05 
 151    -1.00E-02    8.7406E-05 
 152    -1.00E-02    8.5017E-05 
 153    -1.00E-02    8.2737E-05 
 154    -1.00E-02    8.0431E-05 
 155    -1.00E-02    7.8285E-05 
 156    -1.00E-02    7.6186E-05 
 157    -1.00E-02    7.4244E-05 
 158    -1.00E-02    7.2153E-05 
 159    -1.00E-02    7.0330E-05 
 160    -1.00E-02    6.8385E-05 
 161    -1.00E-02    6.6598E-05 
 162    -1.00E-02    6.4863E-05 
 163    -1.00E-02    6.3294E-05 
 164    -1.00E-02    6.1534E-05 
 165    -1.00E-02    5.9983E-05 
 166    -1.00E-02    5.8447E-05 
 167    -1.00E-02    5.7054E-05 
 168    -1.00E-02    5.5437E-05 
 169    -1.00E-02    5.4154E-05 
 170    -1.00E-02    5.2903E-05 
 171    -1.00E-02    5.1551E-05 
 172    -1.00E-02    5.0228E-05 
 173    -1.00E-02    4.9001E-05 
 174    -1.00E-02    4.7794E-05 
 175    -1.00E-02    4.6645E-05 
 176    -1.00E-02    4.5505E-05 
 177    -1.00E-02    4.4470E-05 
 178    -1.00E-02    4.3331E-05 
 179    -1.00E-02    4.2380E-05 
 180    -1.00E-02    4.1259E-05 
 181    -1.00E-02    4.0322E-05 
 182    -1.00E-02    3.9402E-05 
 183    -1.00E-02    3.8597E-05 
 184    -1.00E-02    3.7616E-05 
 185    -1.00E-02    3.6760E-05 
 186    -1.00E-02    3.5963E-05 
 187    -1.00E-02    3.5178E-05 
 188    -1.00E-02    3.4212E-05 
 189    -1.00E-02    3.3498E-05 
 190    -1.00E-02    3.2757E-05 
 191    -1.00E-02    3.2030E-05 
 192    -1.00E-02    3.1303E-05 
 193    -1.00E-02    3.0633E-05 
 194    -1.00E-02    2.9969E-05 
 195    -1.00E-02    2.9264E-05 
