 Mh1     ld345      cs_(fb)ld=0.1  
 10       0.10          1.4712E+03
 11       0.10          1.4702E+03
 12       0.10          1.4740E+03
 13       0.10          1.4733E+03
 14       0.10          1.4740E+03
 15       0.10          1.4706E+03
 16       0.10          1.4714E+03
 17       0.10          1.4687E+03
 18       0.10          1.4703E+03
 19       0.10          1.4683E+03
 20       0.10          1.4716E+03
 21       0.10          1.4688E+03
 22       0.10          1.4695E+03
 23       0.10          1.4709E+03
 24       0.10          1.4692E+03
 25       0.10          1.4650E+03
 26       0.10          1.4647E+03
 27       0.10          1.4658E+03
 28       0.10          1.4661E+03
 29       0.10          1.4655E+03
 30       0.10          1.4641E+03
 31       0.10          1.4642E+03
 32       0.10          1.4622E+03
 33       0.10          1.4613E+03
 34       0.10          1.4623E+03
 35       0.10          1.4590E+03
 36       0.10          1.4587E+03
 37       0.10          1.4584E+03
 38       0.10          1.4532E+03
 39       0.10          1.4546E+03
 40       0.10          1.4539E+03
 41       0.10          1.4516E+03
 42       0.10          1.4488E+03
 43       0.10          1.4490E+03
 44       0.10          1.4455E+03
 45       0.10          1.4477E+03
 46       0.10          1.4406E+03
 47       0.10          1.4408E+03
 48       0.10          1.4369E+03
 49       0.10          1.4360E+03
 50       0.10          1.4294E+03
 51       0.10          1.4258E+03
 52       0.10          1.4247E+03
 53       0.10          1.4163E+03
 54       0.10          1.4126E+03
 55       0.10          1.4055E+03
 56       0.10          1.3963E+03
 57       0.10          1.3849E+03
 58       0.10          1.3722E+03
 59       0.10          1.3530E+03
 60       0.10          1.3261E+03
 61       0.10          1.2744E+03
 62       0.10          1.1313E+03
 63       0.10          3.5456E+00
 64       0.10          1.7091E+00
 65       0.10          1.1684E+00
 66       0.10          8.9108E-01
 67       0.10          7.1824E-01
 68       0.10          5.9711E-01
 69       0.10          5.1073E-01
 70       0.10          4.4373E-01
 71       0.10          3.9011E-01
 72       0.10          3.4681E-01
 73       0.10          3.1102E-01
 74       0.10          2.8077E-01
 75       0.10          2.5485E-01
 76       0.10          2.3255E-01
 77       0.10          2.1300E-01
 78       0.10          1.9608E-01
 79       0.10          1.8088E-01
 80       0.10          1.6788E-01
 81       0.10          1.5576E-01
 82       0.10          1.4534E-01
 83       0.10          1.3557E-01
 84       0.10          1.2703E-01
 85       0.10          1.1873E-01
 86       0.10          1.1152E-01
 87       0.10          1.0497E-01
 88       0.10          9.8749E-02
 89       0.10          9.3343E-02
 90       0.10          8.8039E-02
 91       0.10          8.3524E-02
 92       0.10          7.8996E-02
 93       0.10          7.4799E-02
 94       0.10          7.0843E-02
 95       0.10          6.7474E-02
 96       0.10          6.4120E-02
 97       0.10          6.0973E-02
 98       0.10          5.8255E-02
 99       0.10          5.5431E-02
 100       0.10          5.2938E-02
 101       0.10          5.0611E-02
 102       0.10          4.8304E-02
 103       0.10          4.6063E-02
 104       0.10          4.4174E-02
 105       0.10          4.2288E-02
 106       0.10          4.0504E-02
 107       0.10          3.8861E-02
 108       0.10          3.7201E-02
 109       0.10          3.5727E-02
 110       0.10          3.4362E-02
 111       0.10          3.2947E-02
 112       0.10          3.1654E-02
 113       0.10          3.0430E-02
 114       0.10          2.9271E-02
 115       0.10          2.8118E-02
 116       0.10          2.7115E-02
 117       0.10          2.6093E-02
 118       0.10          2.5136E-02
 119       0.10          2.4238E-02
 120       0.10          2.3349E-02
 121       0.10          2.2555E-02
 122       0.10          2.1760E-02
 123       0.10          2.0996E-02
 124       0.10          2.0303E-02
 125       0.10          1.9588E-02
 126       0.10          1.8935E-02
 127       0.10          1.8285E-02
 128       0.10          1.7695E-02
 129       0.10          1.7114E-02
 130       0.10          1.6585E-02
 131       0.10          1.6023E-02
 132       0.10          1.5502E-02
 133       0.10          1.5027E-02
 134       0.10          1.4541E-02
 135       0.10          1.4089E-02
 136       0.10          1.3649E-02
 137       0.10          1.3243E-02
 138       0.10          1.2844E-02
 139       0.10          1.2441E-02
 140       0.10          1.2063E-02
 141       0.10          1.1688E-02
 142       0.10          1.1352E-02
 143       0.10          1.1018E-02
 144       0.10          1.0691E-02
 145       0.10          1.0399E-02
 146       0.10          1.0088E-02
 147       0.10          9.8084E-03
 148       0.10          9.5155E-03
 149       0.10          9.2588E-03
 150       0.10          9.0003E-03
 151       0.10          8.7385E-03
 152       0.10          8.4942E-03
 153       0.10          8.2698E-03
 154       0.10          8.0466E-03
 155       0.10          7.8217E-03
 156       0.10          7.6275E-03
 157       0.10          7.4147E-03
 158       0.10          7.2176E-03
 159       0.10          7.0200E-03
 160       0.10          6.8352E-03
 161       0.10          6.6651E-03
 162       0.10          6.4877E-03
 163       0.10          6.3309E-03
 164       0.10          6.1513E-03
 165       0.10          5.9964E-03
 166       0.10          5.8355E-03
 167       0.10          5.7004E-03
 168       0.10          5.5614E-03
 169       0.10          5.4193E-03
