    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp     cross_sec_limit   
    10   0.013408      8.144E+03          SR2        20000      14208.700   3.38334        0.086        20       3.43E+02      3.94E+03      5.42E+03      2682.20   
    29   0.014154      4.068E+03          SR2        20000      7179.660    1.71011        0.087        20       1.72E+02      3.94E+03      5.42E+03      2459.14   
    48   0.016646      9.530E+01          SR3        20000      105.334     0.05676        0.054        20       3.19E+00      1.72E+03      2.09E+03      1583.34   
    67   1.648030      2.569E+01          SR4        20000      22.083      0.02075        0.042        20       7.59E-01      9.77E+02      1.02E+03      1155.24   
    86   1.747272      1.192E+01          SR4        20000      13.334      0.01264        0.055        20       4.02E-01      9.77E+02      1.02E+03      887.28   
    105   1.871161      6.490E+00          SR4        20000      9.111      0.00870        0.069        20       2.45E-01      9.77E+02      1.02E+03      706.78   
    124   2.019698      3.868E+00          SR6        20000      2.552      0.01063        0.032        20       1.00E-01      2.18E+02      3.18E+02      335.69   
    143   2.192884      2.447E+00          SR6        20000      1.560      0.00649        0.031        20       6.20E-02      2.18E+02      3.18E+02      347.33   
    162   2.390718      1.618E+00          SR6        20000      1.260      0.00529        0.038        20       4.50E-02      2.18E+02      3.18E+02      284.34   
    181   2.613200      1.105E+00          SR6        20000      0.904      0.00380        0.040        20       3.20E-02      2.18E+02      3.18E+02      270.55   
    200   2.860330      7.764E-01          SR7        20000      0.298      0.00203        0.019        20       1.50E-02      1.30E+02      1.33E+02      343.99   
