    Mh1    ld345     cross_section     best_SR    MC_Events   N_events      r_value      Acceptance    Lumin      error_S      S_obs          S_exp    cross_sec_limit   
    10.0   1.00      7.230E+03          SR2        20000      8520.310       1.91705        0.058        20.0       4.30E+02      3.94E+03      5.42E+03      4118.75   
    29.0   1.00      3.526E+03          SR2        20000      4855.650       1.13594        0.068        20.0       1.58E+02      3.94E+03      5.42E+03      3131.78   
    48.0   1.00      8.232E+01          SR3        20000      78.734       0.04222        0.047        20.0       2.57E+00      1.72E+03      2.09E+03      1828.47   
    67.0   1.00      2.389E+01          SR4        20000      18.381       0.01715        0.038        20.0       6.92E-01      9.77E+02      1.02E+03      1290.86   
    86.0   1.00      1.144E+01          SR4        20000      9.878       0.00928        0.043        20.0       3.38E-01      9.77E+02      1.02E+03      1148.86   
    105.0   1.00      6.367E+00          SR4        20000      6.964       0.00659        0.054        20.0       2.17E-01      9.77E+02      1.02E+03      907.05   
    124.0   1.00      3.863E+00          SR6        20000      1.646       0.00662        0.021        20.0       9.10E-02      2.18E+02      3.18E+02      519.71   
    143.0   1.00      2.484E+00          SR6        20000      1.254       0.00515        0.025        20.0       5.80E-02      2.18E+02      3.18E+02      438.50   
    162.0   1.00      1.667E+00          SR6        20000      0.892       0.00368        0.026        20.0       3.90E-02      2.18E+02      3.18E+02      413.49   
    181.0   1.00      1.153E+00          SR6        20000      0.684       0.00284        0.029        20.0       2.80E-02      2.18E+02      3.18E+02      373.20   
    200.0   1.00      8.230E-01          SR6        20000      0.524       0.00178        0.027        20.0       2.80E-02      2.18E+02      3.18E+02      403.80 
