 Mh1    Mh2      cs_(fb)   
 10.0    11.0    2.1054E+04 
 11.0    12.0    1.8968E+04 
 12.0    13.0    1.8388E+04 
 13.0    14.0    1.8869E+04 
 14.0    15.0    1.7773E+04 
 15.0    16.0    1.7548E+04 
 16.0    17.0    1.7337E+04 
 17.0    18.0    1.6717E+04 
 18.0    19.0    1.6008E+04 
 19.0    20.0    1.5524E+04 
 20.0    21.0    1.4960E+04 
 21.0    22.0    1.4364E+04 
 22.0    23.0    1.3923E+04 
 23.0    24.0    1.3197E+04 
 24.0    25.0    1.2785E+04 
 25.0    26.0    1.2126E+04 
 26.0    27.0    1.1729E+04 
 27.0    28.0    1.0804E+04 
 28.0    29.0    1.0031E+04 
 29.0    30.0    9.4323E+03 
 30.0    31.0    8.7865E+03 
 31.0    32.0    8.0219E+03 
 32.0    33.0    7.4357E+03 
 33.0    34.0    6.7456E+03 
 34.0    35.0    6.0370E+03 
 35.0    36.0    5.3666E+03 
 36.0    37.0    4.7203E+03 
 37.0    38.0    4.0912E+03 
 38.0    39.0    3.4932E+03 
 39.0    40.0    2.8871E+03 
 40.0    41.0    2.3324E+03 
 41.0    42.0    1.8138E+03 
 42.0    43.0    1.3380E+03 
 43.0    44.0    9.3811E+02 
 44.0    45.0    6.0881E+02 
 45.0    46.0    3.9844E+02 
 46.0    47.0    3.0612E+02 
 47.0    48.0    2.5831E+02 
 48.0    49.0    2.2621E+02 
 49.0    50.0    2.0358E+02 
 50.0    51.0    1.8507E+02 
 51.0    52.0    1.6952E+02 
 52.0    53.0    1.5658E+02 
 53.0    54.0    1.4529E+02 
 54.0    55.0    1.3542E+02 
 55.0    56.0    1.2687E+02 
 56.0    57.0    1.1910E+02 
 57.0    58.0    1.1226E+02 
 58.0    59.0    1.0586E+02 
 59.0    60.0    1.0010E+02 
 60.0    61.0    9.5009E+01 
 61.0    62.0    9.0152E+01 
 62.0    63.0    8.5697E+01 
 63.0    64.0    8.1465E+01 
 64.0    65.0    7.7643E+01 
